,评分,片名,年份,地区,豆瓣链接
0,9.3,猫咪小贝,1999,['中国大陆'],https://movie.douban.com/subject/30142123/
1,9.2,小鞋子,1997-02-01,['伊朗'],https://movie.douban.com/subject/1303021/
2,9.2,彭彭丁满历险记-电影版,1996-05-08,['美国'],https://movie.douban.com/subject/26921914/
3,9.1,天堂回信,1992-02-01,['中国大陆'],https://movie.douban.com/subject/1418076/
4,9.1,鳄鱼波鞋走天涯,1995-04-21,['美国'],https://movie.douban.com/subject/1301811/
5,9.1,紫陀螺,2006,['中国大陆'],https://movie.douban.com/subject/2361040/
6,9.0,霹霹乐翻天,2008,['中国大陆'],https://movie.douban.com/subject/4820432/
7,8.9,你看起来好像很好吃,2010-10-16,['日本'],https://movie.douban.com/subject/4848115/
8,8.9,地球上的星星,2007-12-21,['印度'],https://movie.douban.com/subject/2363506/
9,8.9,伴我同行,1986-08-08,['美国'],https://movie.douban.com/subject/1292925/
10,8.9,可玛猫,2009-05-26,['日本'],https://movie.douban.com/subject/2310047/
11,8.9,做我的情人吧，查理·布朗,1975-01-28,['美国'],https://movie.douban.com/subject/2972559/
12,8.8,跳出我天地,2000-05-19,"['英国', '法国']",https://movie.douban.com/subject/1301169/
13,8.8,我的九月,1990,['中国大陆'],https://movie.douban.com/subject/1467748/
14,8.8,你是个好人，查理·布朗,1985-11-06,['美国'],https://movie.douban.com/subject/3097520/
15,8.8,查理·布朗的情人节,2002,['美国'],https://movie.douban.com/subject/5134758/
16,8.7,怪兽电力公司,2001-11-02,['美国'],https://movie.douban.com/subject/1291579/
17,8.7,爱犬的奇迹,2007-12-08,['日本'],https://movie.douban.com/subject/2357302/
18,8.7,念书的孩子,2012-06-15,['中国大陆'],https://movie.douban.com/subject/19976058/
19,8.7,我的妹妹小桃子,2003-07-23,['日本'],https://movie.douban.com/subject/2082176/
20,8.7,我的朋友们：跳跳虎和小熊维尼,2007,['美国'],https://movie.douban.com/subject/2246799/
21,8.7,麻辣女孩：时间危机,2003-11-28,['美国'],https://movie.douban.com/subject/3080904/
22,8.7,粉红豹大冒险动画连续剧,1993,[],https://movie.douban.com/subject/2148184/
23,8.7,彼得与狼：普罗柯菲耶夫的交响童话,1993-12-26,['美国'],https://movie.douban.com/subject/2972580/
24,8.6,奇迹男孩,2018-01-19,"['美国', '中国香港']",https://movie.douban.com/subject/26787574/
25,8.6,巴黎淘气帮,2013-02-10,"['法国', '比利时']",https://movie.douban.com/subject/3157605/
26,8.6,蝴蝶,2002-12-18,['法国'],https://movie.douban.com/subject/1292056/
