,评分,片名,年份,地区,豆瓣链接
0,9.7,肖申克的救赎,1994-09-10,['美国'],https://movie.douban.com/subject/1292052/
1,9.6,霸王别姬,1993-07-26,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1291546/
2,9.6,美丽人生,2020-01-03,['意大利'],https://movie.douban.com/subject/1292063/
3,9.6,控方证人,1957-12-17,['美国'],https://movie.douban.com/subject/1296141/
4,9.6,伊丽莎白,2005-12-05,['奥地利'],https://movie.douban.com/subject/24877005/
5,9.5,阿甘正传,1994-06-23,['美国'],https://movie.douban.com/subject/1292720/
6,9.5,辛德勒的名单,1993-11-30,['美国'],https://movie.douban.com/subject/1295124/
7,9.5,背靠背，脸对脸,1994-09-10,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1307856/
8,9.5,茶馆,1982,['中国大陆'],https://movie.douban.com/subject/1461403/
9,9.5,控方证人,1982-12-04,"['美国', '英国']",https://movie.douban.com/subject/5294851/
10,9.5,十二怒汉（电视版）,1954-09-20,['美国'],https://movie.douban.com/subject/10583098/
11,9.4,这个杀手不太冷,1994-09-14,"['法国', '美国']",https://movie.douban.com/subject/1295644/
12,9.4,千与千寻,2019-06-21,['日本'],https://movie.douban.com/subject/1291561/
13,9.4,泰坦尼克号,1998-04-03,"['美国', '墨西哥', '澳大利亚', '加拿大']",https://movie.douban.com/subject/1292722/
14,9.4,忠犬八公的故事,2009-06-13,"['美国', '英国']",https://movie.douban.com/subject/3011091/
15,9.4,十二怒汉,1957-04-13,['美国'],https://movie.douban.com/subject/1293182/
16,9.4,泰坦尼克号 3D版,2012-04-10,['美国'],https://movie.douban.com/subject/5450891/
17,9.4,灿烂人生,2003-06-22,['意大利'],https://movie.douban.com/subject/1291831/
18,9.4,横空出世,1999-12-12,['中国大陆'],https://movie.douban.com/subject/1464526/
19,9.4,高山下的花环,1985-11-07,['中国大陆'],https://movie.douban.com/subject/1422283/
20,9.4,切腹,1962-09-16,['日本'],https://movie.douban.com/subject/1304920/
21,9.4,遥望南方的童年,2007,['中国大陆'],https://movie.douban.com/subject/3037329/
22,9.4,巴黎圣母院,1998,['法国'],https://movie.douban.com/subject/20326557/
23,9.4,罗密欧与朱丽叶,2002-02-06,['法国'],https://movie.douban.com/subject/25928148/
24,9.3,盗梦空间,2010-09-01,"['美国', '英国']",https://movie.douban.com/subject/3541415/
25,9.3,星际穿越,2014-11-12,"['美国', '英国', '加拿大']",https://movie.douban.com/subject/1889243/
26,9.3,海上钢琴师,2019-11-15,['意大利'],https://movie.douban.com/subject/1292001/
27,9.3,楚门的世界,1998-06-05,['美国'],https://movie.douban.com/subject/1292064/
