,评分,片名,年份,地区,豆瓣链接
0,9.5,福尔摩斯二世,1924-04-21,['美国'],https://movie.douban.com/subject/1303408/
1,9.4,这个杀手不太冷,1994-09-14,"['法国', '美国']",https://movie.douban.com/subject/1295644/
2,9.4,切腹,1962-09-16,['日本'],https://movie.douban.com/subject/1304920/
3,9.3,指环王3：王者无敌,2004-03-12,"['美国', '新西兰']",https://movie.douban.com/subject/1291552/
4,9.3,七武士,1954-04-26,['日本'],https://movie.douban.com/subject/1295399/
5,9.2,蝙蝠侠：黑暗骑士,2008-07-14,"['美国', '英国']",https://movie.douban.com/subject/1851857/
6,9.2,指环王2：双塔奇兵,2003-04-25,"['美国', '新西兰']",https://movie.douban.com/subject/1291572/
7,9.2,赛文奥特曼 我是地球人,1999-12-31,['日本'],https://movie.douban.com/subject/5041031/
8,9.2,丝路花雨,1982,['中国大陆'],https://movie.douban.com/subject/3804492/
9,9.2,少年骇客：变身之谜,2007-08-10,['美国'],https://movie.douban.com/subject/5187955/
10,9.1,指环王1：护戒使者,2002-04-04,"['新西兰', '美国']",https://movie.douban.com/subject/1291571/
11,9.1,黑客帝国,1999-03-31,['美国'],https://movie.douban.com/subject/1291843/
12,9.1,将军号,1926-12-25,['美国'],https://movie.douban.com/subject/1292778/
13,9.1,鬼灭之刃 那田蜘蛛山篇,2020-10-17,['日本'],https://movie.douban.com/subject/35231832/
14,9.0,搏击俱乐部,1999-09-10,"['美国', '德国', '意大利']",https://movie.douban.com/subject/1292000/
15,9.0,攻壳机动队,1995-11-18,['日本'],https://movie.douban.com/subject/1291936/
16,9.0,用心棒,1961-04-25,['日本'],https://movie.douban.com/subject/1292515/
17,8.9,让子弹飞,2010-12-16,"['中国大陆', '中国香港']",https://movie.douban.com/subject/3742360/
18,8.9,V字仇杀队,2005-12-11,"['美国', '英国', '德国']",https://movie.douban.com/subject/1309046/
19,8.9,杀人回忆,2003-05-02,['韩国'],https://movie.douban.com/subject/1300299/
20,8.9,勇敢的心,1995-05-18,['美国'],https://movie.douban.com/subject/1294639/
21,8.9,乱,1985-06-01,"['日本', '法国']",https://movie.douban.com/subject/1296196/
22,8.9,蝙蝠侠：黑暗骑士归来(下),2013-01-29,['美国'],https://movie.douban.com/subject/11443810/
23,8.8,阿凡达,2010-01-04,['美国'],https://movie.douban.com/subject/1652587/
24,8.8,加勒比海盗,2003-11-21,['美国'],https://movie.douban.com/subject/1298070/
25,8.8,蝙蝠侠：黑暗骑士崛起,2012-08-27,"['美国', '英国']",https://movie.douban.com/subject/3395373/
26,8.8,被解救的姜戈,2013-05-12,['美国'],https://movie.douban.com/subject/6307447/
27,8.8,黑客帝国3：矩阵革命,2003-11-05,['美国'],https://movie.douban.com/subject/1302467/
28,8.8,谍影重重3,2007-11-15,"['美国', '德国']",https://movie.douban.com/subject/1578507/
29,8.8,纵横四海,1991-02-02,['中国香港'],https://movie.douban.com/subject/1295409/
30,8.8,终结者2：审判日,1991-07-03,"['美国', '法国']",https://movie.douban.com/subject/1291844/
31,8.8,枪火,1999-11-19,['中国香港'],https://movie.douban.com/subject/1300741/
32,8.8,东邪西毒：终极版,2009-03-26,"['中国香港', '中国大陆', '中国台湾']",https://movie.douban.com/subject/3726072/
33,8.8,黑客帝国动画版,2003-06-03,['美国'],https://movie.douban.com/subject/1292347/
34,8.8,椿三十郎,1962-01-01,['日本'],https://movie.douban.com/subject/1293310/
35,8.8,桥,1969-07-14,['南斯拉夫'],https://movie.douban.com/subject/1305697/
36,8.8,西线无战事,1930-08-24,['美国'],https://movie.douban.com/subject/1295116/
37,8.7,头号玩家,2018-03-30,['美国'],https://movie.douban.com/subject/4920389/
38,8.7,功夫,2004-12-23,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1291543/
39,8.7,超能陆战队,2015-02-28,['美国'],https://movie.douban.com/subject/11026735/
40,8.7,谍影重重2,2004-11-14,"['美国', '德国']",https://movie.douban.com/subject/1308767/
41,8.7,黑鹰坠落,2001-12-18,"['美国', '英国']",https://movie.douban.com/subject/1291824/
42,8.7,精英部队2：大敌当前,2011-11-25,['巴西'],https://movie.douban.com/subject/4304402/
43,8.7,宾虚,1959-11-18,['美国'],https://movie.douban.com/subject/1293150/
44,8.7,正义联盟：闪点悖论,2013-07-30,['美国'],https://movie.douban.com/subject/24718965/
45,8.7,兽兵卫忍风帖,1993-06-05,['日本'],https://movie.douban.com/subject/1421884/
46,8.7,大菩萨岭,1966-02-25,['日本'],https://movie.douban.com/subject/1440164/
47,8.7,铁达尼号沉没记,1996-11-17,"['加拿大', '美国']",https://movie.douban.com/subject/1296542/
48,8.7,奈克瑟斯奥特曼剧场版,2004-12-18,['日本'],https://movie.douban.com/subject/1859322/
49,8.7,岁城璃心,2014-12-08,['中国大陆'],https://movie.douban.com/subject/26298852/
50,8.6,釜山行,2016-05-13,['韩国'],https://movie.douban.com/subject/25986180/
51,8.6,蜘蛛侠：平行宇宙,2018-12-21,['美国'],https://movie.douban.com/subject/26374197/
52,8.6,东邪西毒,1994-09-17,"['中国香港', '中国台湾']",https://movie.douban.com/subject/1292328/
53,8.6,疯狂的麦克斯4：狂暴之路,2015-05-14,"['澳大利亚', '美国']",https://movie.douban.com/subject/3592854/
54,8.6,英雄本色,2017-11-17,['中国香港'],https://movie.douban.com/subject/1297574/
55,8.6,新龙门客栈,2012-02-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292287/
56,8.6,谍影重重,2002-11-21,"['美国', '德国', '捷克']",https://movie.douban.com/subject/1304102/
57,8.6,黑客帝国2：重装上阵,2003-07-18,['美国'],https://movie.douban.com/subject/1304141/
58,8.6,勇闯夺命岛,1996-06-07,['美国'],https://movie.douban.com/subject/1292728/
59,8.6,启示,2006-12-08,['美国'],https://movie.douban.com/subject/1450031/
60,8.6,恶童,2006-12-23,['日本'],https://movie.douban.com/subject/1848925/
61,8.6,钢铁巨人,1999-08-06,['美国'],https://movie.douban.com/subject/1293863/
62,8.6,杀死比尔整个血腥事件,2011-03-27,['美国'],https://movie.douban.com/subject/10756537/
63,8.6,红线,2010-10-09,['日本'],https://movie.douban.com/subject/3903715/
64,8.6,落叶,2004-01-17,['日本'],https://movie.douban.com/subject/1947265/
65,8.6,死亡的游戏,2001-07-26,"['日本', '中国香港']",https://movie.douban.com/subject/5401681/
66,8.6,船长二世,1928-05-12,['美国'],https://movie.douban.com/subject/1292963/
67,8.6,滑铁卢战役,1970-10-26,"['意大利', '苏联']",https://movie.douban.com/subject/1308721/
68,8.6,星际5555：异星梦系统秘传,2003-05-28,"['日本', '法国']",https://movie.douban.com/subject/1460443/
69,8.5,复仇者联盟4：终局之战,2019-04-24,['美国'],https://movie.douban.com/subject/26100958/
70,8.5,变脸,1997-06-27,['美国'],https://movie.douban.com/subject/1292659/
71,8.5,霍比特人3：五军之战,2015-01-23,"['美国', '新西兰']",https://movie.douban.com/subject/2973079/
72,8.5,速度与激情5,2011-05-12,['美国'],https://movie.douban.com/subject/4286017/
73,8.5,蝙蝠侠：侠影之谜,2005-06-29,"['美国', '英国']",https://movie.douban.com/subject/1309069/
74,8.5,神探,2008-02-22,['中国香港'],https://movie.douban.com/subject/2027938/
75,8.5,暗战,1999-09-23,['中国香港'],https://movie.douban.com/subject/1298898/
76,8.5,角斗士,2000-05-05,"['美国', '英国', '马耳他', '摩洛哥']",https://movie.douban.com/subject/1293530/
77,8.5,黄海,2010-12-22,"['韩国', '美国', '中国香港']",https://movie.douban.com/subject/3743114/
78,8.5,守望者,2009-03-06,['美国'],https://movie.douban.com/subject/1972698/
79,8.5,精武英雄,1994-12-22,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292895/
80,8.5,王牌对王牌,1998-07-29,"['美国', '德国']",https://movie.douban.com/subject/1293434/
81,8.5,盗火线,1995-12-15,['美国'],https://movie.douban.com/subject/1295686/
82,8.5,喋血双雄,1989-07-06,['中国香港'],https://movie.douban.com/subject/1296519/
83,8.5,阿基拉,1988-07-16,['日本'],https://movie.douban.com/subject/1302770/
84,8.5,魁拔Ⅲ战神崛起,2014-10-01,['中国大陆'],https://movie.douban.com/subject/24723061/
85,8.5,精武门,1972-03-22,['中国香港'],https://movie.douban.com/subject/1294991/
