,评分,片名,年份,地区,豆瓣链接
0,9.4,千与千寻,2019-06-21,['日本'],https://movie.douban.com/subject/1291561/
1,9.4,大闹天宫,1961,['中国大陆'],https://movie.douban.com/subject/1418019/
2,9.4,大雄的怀念奶奶,2000-03-11,['日本'],https://movie.douban.com/subject/10461356/
3,9.3,机器人总动员,2008-06-27,['美国'],https://movie.douban.com/subject/2131459/
4,9.3,狐妖小红娘剧场版：月红篇,2016-06-24,['中国大陆'],https://movie.douban.com/subject/26972694/
5,9.3,狐妖小红娘剧场版：王权富贵,2016-05-20,['中国大陆'],https://movie.douban.com/subject/26946612/
6,9.3,拽妹黛薇儿要上大学了没,2002-01-21,['美国'],https://movie.douban.com/subject/2054458/
7,9.3,拽妹黛薇儿之暑假要结束了没,2000-08-27,['USA'],https://movie.douban.com/subject/2054560/
8,9.3,苏联动画大师作品精选集,1998,"['俄罗斯', '英国', '美国']",https://movie.douban.com/subject/1447000/
9,9.2,疯狂动物城,2016-03-04,['美国'],https://movie.douban.com/subject/25662329/
10,9.2,龙猫,2018-12-14,['日本'],https://movie.douban.com/subject/1291560/
11,9.2,天书奇谭,1983,['中国大陆'],https://movie.douban.com/subject/1428581/
12,9.2,金猴降妖,1985,['中国大陆'],https://movie.douban.com/subject/1780256/
13,9.2,吹响悠风号剧场版：誓言的终章,2019-04-19,['日本'],https://movie.douban.com/subject/27062638/
14,9.2,欢乐树的朋友们：第二发球,2003,['美国'],https://movie.douban.com/subject/1393471/
15,9.2,欢乐树的朋友们：第三击,2004-08-01,['美国'],https://movie.douban.com/subject/1393472/
16,9.2,新世纪福音战士 第0:0话 诞生之始,1995-12-21,['日本'],https://movie.douban.com/subject/26306741/
17,9.2,少年骇客：变身之谜,2007-08-10,['美国'],https://movie.douban.com/subject/5187955/
18,9.2,银魂晴祭2016,2016-03-06,['日本'],https://movie.douban.com/subject/26887094/
19,9.1,寻梦环游记,2017-11-24,['美国'],https://movie.douban.com/subject/20495023/
