,评分,片名,年份,地区,豆瓣链接
0,9.5,辛德勒的名单,1993-11-30,['美国'],https://movie.douban.com/subject/1295124/
1,9.5,茶馆,1982,['中国大陆'],https://movie.douban.com/subject/1461403/
2,9.4,横空出世,1999-12-12,['中国大陆'],https://movie.douban.com/subject/1464526/
3,9.3,末代皇帝,1987-10-04,"['英国', '意大利', '中国大陆', '法国']",https://movie.douban.com/subject/1293172/
4,9.3,活着,1994-05-17,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1292365/
5,9.3,乱世佳人,1939-12-15,['美国'],https://movie.douban.com/subject/1300267/
6,9.3,永不消逝的电波 高清放映,2020-05-14,['中国大陆'],https://movie.douban.com/subject/34841525/
7,9.2,无言的山丘,1992-12-05,['中国台湾'],https://movie.douban.com/subject/1298944/
8,9.2,战争与和平,1966-03-14,['苏联'],https://movie.douban.com/subject/1307067/
9,9.2,人间的条件(第五、六部),1961-01-28,['日本'],https://movie.douban.com/subject/1441039/
10,9.2,战争与和平1：安德烈·博尔孔斯基,1965,['苏联'],https://movie.douban.com/subject/1298257/
11,9.2,战争与和平4：皮埃尔·别祖霍夫,1967-11-04,['苏联'],https://movie.douban.com/subject/1297822/
12,9.1,从海底出击,1981-09-17,['西德'],https://movie.douban.com/subject/1293909/
13,9.1,纽伦堡的审判,1961-12-14,['美国'],https://movie.douban.com/subject/1292589/
14,9.1,秦时明月之一舞倾城,2010-03-25,['中国大陆'],https://movie.douban.com/subject/4804209/
15,9.1,战争与和平2：娜塔莎·罗斯托娃,1966-07-23,['苏联'],https://movie.douban.com/subject/1303712/
16,9.1,战争与和平3：1812年,1967-11-23,['苏联'],https://movie.douban.com/subject/1303079/
17,9.1,法国大革命,1990-09-30,"['法国', '意大利', '西德', '加拿大', '英国']",https://movie.douban.com/subject/2040152/
18,9.0,影武者,1980-04-26,"['日本', '美国']",https://movie.douban.com/subject/1303067/
19,9.0,镜子,1975-03-07,['苏联'],https://movie.douban.com/subject/1299248/
20,9.0,安德烈·卢布廖夫,1971-12-24,['苏联'],https://movie.douban.com/subject/1298248/
21,9.0,哭泣的草原,2004-02-12,"['希腊', '法国', '意大利', '德国']",https://movie.douban.com/subject/1388180/
22,9.0,尤里西斯的凝视,1995-05-24,"['希腊', '法国', '意大利', '德国', '英国', '南斯拉夫', '罗马尼亚', '阿尔巴尼亚', '波黑']",https://movie.douban.com/subject/1294573/
