,评分,片名,年份,地区,豆瓣链接
0,9.2,大话西游之大圣娶亲,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292213/
1,9.2,丝路花雨,1982,['中国大陆'],https://movie.douban.com/subject/3804492/
2,9.0,大话西游之月光宝盒,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1299398/
3,8.7,唐伯虎点秋香,1993-07-01,['中国香港'],https://movie.douban.com/subject/1306249/
4,8.7,倩女幽魂,2011-04-30,['中国香港'],https://movie.douban.com/subject/1297447/
5,8.7,射雕英雄传之东成西就,1993-02-05,['中国香港'],https://movie.douban.com/subject/1316510/
6,8.6,九品芝麻官,1994-03-31,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1297518/
7,8.6,东邪西毒,1994-09-17,"['中国香港', '中国台湾']",https://movie.douban.com/subject/1292328/
8,8.6,青蛇,1993-11-04,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1303394/
9,8.6,新龙门客栈,2012-02-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292287/
10,8.6,兹山鱼谱,2021-03-31,['韩国'],https://movie.douban.com/subject/30409439/
11,8.6,了凡四训,2001,['中国大陆'],https://movie.douban.com/subject/2029103/
12,8.5,笑傲江湖2：东方不败,1992-06-26,['中国香港'],https://movie.douban.com/subject/1294417/
13,8.5,辉夜姬物语,2013-11-23,['日本'],https://movie.douban.com/subject/4099231/
14,8.5,侠女,1970-07-10,"['中国台湾', '中国香港']",https://movie.douban.com/subject/1306490/
15,8.5,笔中情,1982,['中国大陆'],https://movie.douban.com/subject/2000736/
16,8.5,三笑,1964-03-21,['中国香港'],https://movie.douban.com/subject/1937380/
17,8.4,空山灵雨,1979-07-11,['中国香港'],https://movie.douban.com/subject/1301136/
18,8.4,敦煌,1988-06-25,"['中国大陆', '日本']",https://movie.douban.com/subject/1303390/
19,8.4,大千世界,1975-07-17,['中国香港'],https://movie.douban.com/subject/3078571/
20,8.3,黄飞鸿,1991-08-15,['中国香港'],https://movie.douban.com/subject/1298443/
21,8.3,少林寺,1982-02-01,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1301198/
22,8.3,小戏骨：白蛇传,2016-10-02,['中国大陆'],https://movie.douban.com/subject/26887890/
23,8.3,山中传奇,1979-10-04,['中国香港'],https://movie.douban.com/subject/1306021/
24,8.3,天仙配,1955,['中国大陆'],https://movie.douban.com/subject/2123597/
25,8.3,老少爷们上法场,1989,['中国大陆'],https://movie.douban.com/subject/3175464/
26,8.3,古玩,2001,['中国大陆'],https://movie.douban.com/subject/1859112/
27,8.3,红楼梦Ⅱ黛玉葬花,1989,['中国大陆'],https://movie.douban.com/subject/26295984/
28,8.3,红楼梦Ⅲ 凤姐泼醋,1989,['中国大陆'],https://movie.douban.com/subject/26295985/
29,8.3,红楼梦 Ⅳ 二尤惨死,1989,['中国大陆'],https://movie.douban.com/subject/26295986/
30,8.2,鹿鼎记,1992-07-30,['中国香港'],https://movie.douban.com/subject/1297223/
31,8.2,黄飞鸿之二：男儿当自强,1992-04-16,['中国香港'],https://movie.douban.com/subject/1293475/
32,8.2,董夫人,1968-10-30,['中国香港'],https://movie.douban.com/subject/1297767/
33,8.2,杨贵妃,1992,['中国大陆'],https://movie.douban.com/subject/2080809/
34,8.2,李时珍,1956,['中国大陆'],https://movie.douban.com/subject/1438024/
35,8.2,红楼梦 Ⅴ 晴雯夭亡,1989,['中国大陆'],https://movie.douban.com/subject/26295987/
36,8.1,黄飞鸿之三：狮王争霸,1992-12-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292704/
37,8.1,大明劫,2013-10-25,['中国大陆'],https://movie.douban.com/subject/11627068/
