,评分,片名,年份,地区,豆瓣链接
0,9.6,霸王别姬,1993-07-26,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1291546/
1,9.4,极品基老伴：完结篇,2016-06-19,['英国'],https://movie.douban.com/subject/26700818/
2,9.2,超感猎杀：完结特别篇,2018-06-08,['美国'],https://movie.douban.com/subject/27040774/
3,9.1,普吉岛的最后黄昏,2021-05-20,['泰国'],https://movie.douban.com/subject/35472124/
4,9.0,春光乍泄,1997-05-17,"['中国香港', '日本', '韩国']",https://movie.douban.com/subject/1292679/
5,9.0,同级生,2016-02-20,['日本'],https://movie.douban.com/subject/26344688/
6,8.9,请以你的名字呼唤我,2017-01-22,"['意大利', '法国', '巴西', '美国', '荷兰', '德国']",https://movie.douban.com/subject/26799731/
7,8.9,喜宴,1993-08-04,"['中国台湾', '美国']",https://movie.douban.com/subject/1303037/
8,8.9,莫里斯,1987-09-18,['英国'],https://movie.douban.com/subject/1293456/
9,8.9,天佑鲍比,2009-01-24,['美国'],https://movie.douban.com/subject/3154003/
10,8.9,同性三分亲,1988-12-14,['美国'],https://movie.douban.com/subject/1301750/
11,8.8,断背山,2005-09-02,"['美国', '加拿大']",https://movie.douban.com/subject/1418834/
12,8.8,达拉斯买家俱乐部,2013-09-07,['美国'],https://movie.douban.com/subject/1793929/
13,8.8,战场上的快乐圣诞,1983-05-11,"['英国', '日本', '新西兰']",https://movie.douban.com/subject/1303535/
14,8.8,面子,2004-09-12,['美国'],https://movie.douban.com/subject/1421278/
15,8.8,冬之蝉,2007-02-23,['日本'],https://movie.douban.com/subject/2286133/
16,8.7,模仿游戏,2015-07-21,"['英国', '美国']",https://movie.douban.com/subject/10463953/
17,8.7,波西米亚狂想曲,2019-03-22,"['英国', '美国']",https://movie.douban.com/subject/5300054/
18,8.7,费城故事,1993-12-22,['美国'],https://movie.douban.com/subject/1293145/
19,8.7,摇滚芭比,2001-07-20,['美国'],https://movie.douban.com/subject/1301926/
20,8.6,谁先爱上他的,2018-04-22,['中国台湾'],https://movie.douban.com/subject/27119586/
21,8.6,燃烧女子的肖像,2019-05-19,['法国'],https://movie.douban.com/subject/30257175/
22,8.6,迷恋荷尔蒙,2003-05-31,"['美国', '加拿大']",https://movie.douban.com/subject/1773216/
23,8.6,烈焰焚币,2000-05-11,"['阿根廷', '西班牙', '乌拉圭']",https://movie.douban.com/subject/1306454/
24,8.6,隐藏的恋情,2005-03-07,['法国'],https://movie.douban.com/subject/1946786/
25,8.6,蓝,1993-10-03,"['英国', '日本']",https://movie.douban.com/subject/1417428/
26,8.6,爱的真谛,2008-03-26,['法国'],https://movie.douban.com/subject/4059976/
27,8.5,单身男子,2009-09-11,['美国'],https://movie.douban.com/subject/3275168/
28,8.5,痛苦与荣耀,2019-03-13,"['西班牙', '法国']",https://movie.douban.com/subject/30198539/
29,8.5,人生密密缝,2017-02-10,['日本'],https://movie.douban.com/subject/26754513/
30,8.5,自梳,1997-10-23,['中国香港'],https://movie.douban.com/subject/1304648/
31,8.5,夏威夷,2013-04-13,['阿根廷'],https://movie.douban.com/subject/20256636/
32,8.5,英伦性丑闻,2007-07-21,['英国'],https://movie.douban.com/subject/2334000/
33,8.4,小姐,2016-05-14,['韩国'],https://movie.douban.com/subject/25977027/
34,8.4,卡罗尔,2015-05-17,"['英国', '美国']",https://movie.douban.com/subject/10757577/
35,8.4,阿黛尔的生活,2013-05-23,"['法国', '比利时', '西班牙']",https://movie.douban.com/subject/10535568/
36,8.4,金枝玉叶,1994-07-23,['中国香港'],https://movie.douban.com/subject/1303376/
37,8.4,天鹅绒金矿,1998-11-06,"['英国', '美国']",https://movie.douban.com/subject/1294136/
38,8.4,平常的心,2014-05-25,['美国'],https://movie.douban.com/subject/6776051/
39,8.4,蝴蝶君,1993-09-09,['美国'],https://movie.douban.com/subject/1293643/
40,8.4,上帝之国,2017-01-23,['英国'],https://movie.douban.com/subject/26781703/
41,8.4,菲洛梅娜,2013-08-31,"['英国', '美国', '法国']",https://movie.douban.com/subject/19973780/
42,8.4,迷情站台,2007-07-22,['英国'],https://movie.douban.com/subject/2238297/
43,8.4,与爱同居之永恒的爱,2020-01-29,['泰国'],https://movie.douban.com/subject/34951277/
44,8.4,特殊的友情,1964-09-04,['法国'],https://movie.douban.com/subject/1866433/
45,8.3,蓝色大门,2002-09-27,"['中国台湾', '法国']",https://movie.douban.com/subject/1308575/
46,8.3,爱在暹罗,2007-11-22,['泰国'],https://movie.douban.com/subject/2365260/
47,8.3,蓝宇,2001-11-22,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1308076/
48,8.3,爱你，西蒙,2018-03-16,['美国'],https://movie.douban.com/subject/26654498/
49,8.3,丹麦女孩,2015-09-05,"['英国', '美国', '比利时', '丹麦', '德国']",https://movie.douban.com/subject/3071604/
50,8.3,我杀了我妈妈,2009-09-15,['加拿大'],https://movie.douban.com/subject/3707070/
51,8.3,我自己的爱达荷,1991-09-12,['美国'],https://movie.douban.com/subject/1292792/
52,8.3,米尔克,2008-11-26,['美国'],https://movie.douban.com/subject/2336737/
53,8.3,每分钟120击,2017-05-20,['法国'],https://movie.douban.com/subject/26746559/
54,8.3,不良教育,2004-09-16,['西班牙'],https://movie.douban.com/subject/1291878/
55,8.3,爱，简单,2014-02-11,['巴西'],https://movie.douban.com/subject/20441632/
56,8.3,夜间飞行,2014-02-07,['韩国'],https://movie.douban.com/subject/25823035/
57,8.3,骄傲,2014-05-23,['英国'],https://movie.douban.com/subject/25740192/
58,8.3,美好事物,1996-06-21,['英国'],https://movie.douban.com/subject/1300426/
59,8.3,心底的逆流,2009-09-23,"['秘鲁', '哥伦比亚', '法国', '德国']",https://movie.douban.com/subject/4270672/
60,8.3,沙漠妖姬,1994-08-10,['澳大利亚'],https://movie.douban.com/subject/1292345/
61,8.3,艾草,2008-06-08,['中国台湾'],https://movie.douban.com/subject/3113588/
62,8.3,世界第一初恋：求婚篇,2020-02-21,['日本'],https://movie.douban.com/subject/34810454/
