,评分,片名,年份,地区,豆瓣链接
0,9.4,千与千寻,2019-06-21,['日本'],https://movie.douban.com/subject/1291561/
1,9.4,大闹天宫,1961,['中国大陆'],https://movie.douban.com/subject/1418019/
2,9.3,指环王3：王者无敌,2004-03-12,"['美国', '新西兰']",https://movie.douban.com/subject/1291552/
3,9.3,生活多美好,1946-12-20,['美国'],https://movie.douban.com/subject/1293749/
4,9.3,狐妖小红娘剧场版：月红篇,2016-06-24,['中国大陆'],https://movie.douban.com/subject/26972694/
5,9.2,大话西游之大圣娶亲,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292213/
6,9.2,龙猫,2018-12-14,['日本'],https://movie.douban.com/subject/1291560/
7,9.2,指环王2：双塔奇兵,2003-04-25,"['美国', '新西兰']",https://movie.douban.com/subject/1291572/
8,9.2,天书奇谭,1983,['中国大陆'],https://movie.douban.com/subject/1428581/
9,9.2,金猴降妖,1985,['中国大陆'],https://movie.douban.com/subject/1780256/
10,9.1,寻梦环游记,2017-11-24,['美国'],https://movie.douban.com/subject/20495023/
11,9.1,少年派的奇幻漂流,2012-11-22,"['美国', '中国台湾', '英国', '加拿大']",https://movie.douban.com/subject/1929463/
12,9.1,哈利·波特与魔法石,2002-01-26,"['美国', '英国']",https://movie.douban.com/subject/1295038/
13,9.1,哈尔的移动城堡,2004-09-05,['日本'],https://movie.douban.com/subject/1308807/
14,9.1,指环王1：护戒使者,2002-04-04,"['新西兰', '美国']",https://movie.douban.com/subject/1291571/
15,9.1,天空之城,1992-05-01,['日本'],https://movie.douban.com/subject/1291583/
16,9.1,哪吒闹海,1979-05-19,['中国大陆'],https://movie.douban.com/subject/1307315/
17,9.1,流浪者之歌,1988-12-21,"['意大利', '英国', '南斯拉夫']",https://movie.douban.com/subject/1303525/
18,9.1,鬼灭之刃 那田蜘蛛山篇,2020-10-17,['日本'],https://movie.douban.com/subject/35231832/
