,评分,片名,年份,地区,豆瓣链接
0,8.9,西西里的美丽传说,2000-10-27,"['意大利', '美国']",https://movie.douban.com/subject/1292402/
1,8.7,出租车司机冒险记,1976-05-23,['英国'],https://movie.douban.com/subject/4705150/
2,8.5,色，戒,2007-11-01,"['中国台湾', '中国大陆', '美国', '中国香港']",https://movie.douban.com/subject/1828115/
3,8.4,小姐,2016-05-14,['韩国'],https://movie.douban.com/subject/25977027/
4,8.4,苦月亮,1992-09-23,"['法国', '英国']",https://movie.douban.com/subject/1301582/
5,8.2,情人,1992-01-22,"['法国', '英国', '越南']",https://movie.douban.com/subject/1291868/
6,8.2,一树梨花压海棠,1997-09-26,"['美国', '法国']",https://movie.douban.com/subject/1296778/
7,8.2,再见箱舟,1984-09-08,['日本'],https://movie.douban.com/subject/1401522/
8,8.1,戏梦巴黎,2003-09-01,"['法国', '英国', '意大利']",https://movie.douban.com/subject/1291856/
9,8.1,巴黎野玫瑰,1986-04-09,['法国'],https://movie.douban.com/subject/1303053/
10,8.1,我嫁了个怪蜀黍！,1998-08-28,['美国'],https://movie.douban.com/subject/1874704/
11,8.1,好色一代男,1991-01-18,['日本'],https://movie.douban.com/subject/5339111/
12,8.0,大开眼戒,1999-07-16,"['英国', '美国']",https://movie.douban.com/subject/1300275/
13,8.0,性爱宝典,1972-08-06,['美国'],https://movie.douban.com/subject/1295460/
14,7.9,女性瘾者：第一部,2013-12-25,"['丹麦', '德国', '法国', '比利时', '英国']",https://movie.douban.com/subject/6827727/
15,7.9,女性瘾者：第二部,2013-12-25,"['丹麦', '德国', '比利时', '英国', '法国', '瑞典']",https://movie.douban.com/subject/10792650/
16,7.8,洛丽塔,1962-06-13,"['美国', '英国']",https://movie.douban.com/subject/1296992/
17,7.8,性书大亨,1996-12-25,['美国'],https://movie.douban.com/subject/1298989/
18,7.7,爱神,2004-09-10,"['意大利', '中国香港', '美国', '法国', '卢森堡', '英国']",https://movie.douban.com/subject/1309029/
19,7.7,弓,2005-05-12,"['韩国', '日本']",https://movie.douban.com/subject/1394424/
20,7.7,性、谎言和录像带,1989-08-18,['美国'],https://movie.douban.com/subject/1292341/
21,7.7,偷香,1996-03-29,"['意大利', '法国', '英国']",https://movie.douban.com/subject/1292277/
22,7.7,激情丛林,1995,['意大利'],https://movie.douban.com/subject/25804480/
23,7.7,梦二,1991-05-31,['日本'],https://movie.douban.com/subject/1401330/
24,7.6,云上的日子,1995-10-27,"['法国', '意大利', '德国']",https://movie.douban.com/subject/1291558/
25,7.6,不忠,2002-05-10,"['美国', '德国', '法国']",https://movie.douban.com/subject/1305456/
26,7.6,色情男女,1996-11-28,['中国香港'],https://movie.douban.com/subject/1296463/
27,7.6,白日美人,1967-05-24,"['法国', '意大利']",https://movie.douban.com/subject/1301649/
28,7.6,露西亚的情人,2001-08-24,"['西班牙', '法国']",https://movie.douban.com/subject/1297598/
29,7.6,唐朝豪放女,1984-06-01,['中国香港'],https://movie.douban.com/subject/1401129/
30,7.6,情迷六月花,1990-09-28,['美国'],https://movie.douban.com/subject/1300161/
31,7.6,活色生香,1997-10-29,"['西班牙', '法国']",https://movie.douban.com/subject/1302369/
32,7.6,同船爱歌,2016-02-15,['法国'],https://movie.douban.com/subject/26689198/
