,评分,片名,年份,地区,豆瓣链接
0,9.3,无间道,2003-09-05,['中国香港'],https://movie.douban.com/subject/1307914/
1,9.2,蝙蝠侠：黑暗骑士,2008-07-14,"['美国', '英国']",https://movie.douban.com/subject/1851857/
2,9.2,洞,1960-03-18,"['法国', '意大利']",https://movie.douban.com/subject/1424334/
3,9.1,黑镜：圣诞特别篇,2014-12-16,['英国'],https://movie.douban.com/subject/25964630/
4,9.0,搏击俱乐部,1999-09-10,"['美国', '德国', '意大利']",https://movie.douban.com/subject/1292000/
5,9.0,红辣椒,2006-09-02,['日本'],https://movie.douban.com/subject/1865703/
6,9.0,未麻的部屋,1997-08-05,['日本'],https://movie.douban.com/subject/1395091/
7,9.0,惊魂记,1960-06-16,['美国'],https://movie.douban.com/subject/1293181/
8,9.0,用心棒,1961-04-25,['日本'],https://movie.douban.com/subject/1292515/
9,8.9,V字仇杀队,2005-12-11,"['美国', '英国', '德国']",https://movie.douban.com/subject/1309046/
10,8.9,沉默的羔羊,1991-02-14,['美国'],https://movie.douban.com/subject/1293544/
11,8.9,致命魔术,2006-10-17,"['英国', '美国']",https://movie.douban.com/subject/1780330/
12,8.9,杀人回忆,2003-05-02,['韩国'],https://movie.douban.com/subject/1300299/
13,8.9,第六感,1999-08-06,['美国'],https://movie.douban.com/subject/1297630/
14,8.9,追随,1998-09-12,['英国'],https://movie.douban.com/subject/1397546/
15,8.9,回忆三部曲,1995-12-23,['日本'],https://movie.douban.com/subject/1307897/
16,8.9,安全至下,1923-04-01,['美国'],https://movie.douban.com/subject/1303388/
17,8.8,看不见的客人,2017-09-15,['西班牙'],https://movie.douban.com/subject/26580232/
18,8.8,七宗罪,1995-09-22,['美国'],https://movie.douban.com/subject/1292223/
19,8.8,禁闭岛,2010-02-13,['美国'],https://movie.douban.com/subject/2334904/
20,8.8,蝴蝶效应,2004-01-23,"['美国', '加拿大']",https://movie.douban.com/subject/1292343/
21,8.8,致命ID,2003-04-25,['美国'],https://movie.douban.com/subject/1297192/
22,8.8,蝙蝠侠：黑暗骑士崛起,2012-08-27,"['美国', '英国']",https://movie.douban.com/subject/3395373/
23,8.8,谍影重重3,2007-11-15,"['美国', '德国']",https://movie.douban.com/subject/1578507/
24,8.8,2001太空漫游,1968-04-02,"['英国', '美国']",https://movie.douban.com/subject/1292226/
25,8.8,千钧一发,1997-10-24,['美国'],https://movie.douban.com/subject/1300117/
26,8.8,末路狂花,1991-05-24,"['美国', '英国', '法国']",https://movie.douban.com/subject/1291992/
27,8.8,电话谋杀案,1954-05-29,['美国'],https://movie.douban.com/subject/1301231/
28,8.8,刺杀肯尼迪,1991-12-20,"['美国', '法国']",https://movie.douban.com/subject/1292230/
29,8.8,椿三十郎,1962-01-01,['日本'],https://movie.douban.com/subject/1293310/
30,8.8,假面,1966-10-18,['瑞典'],https://movie.douban.com/subject/1294438/
31,8.7,小丑,2019-08-31,"['美国', '加拿大']",https://movie.douban.com/subject/27119724/
32,8.7,消失的爱人,2014-09-26,['美国'],https://movie.douban.com/subject/21318488/
33,8.7,记忆碎片,2000-09-05,['美国'],https://movie.douban.com/subject/1304447/
34,8.7,电锯惊魂,2004-01-19,['美国'],https://movie.douban.com/subject/1417598/
35,8.7,血钻,2006-12-08,"['美国', '德国', '英国']",https://movie.douban.com/subject/1428175/
36,8.7,谍影重重2,2004-11-14,"['美国', '德国']",https://movie.douban.com/subject/1308767/
37,8.7,浪潮,2008-03-13,['德国'],https://movie.douban.com/subject/2297265/
38,8.7,洛城机密,1997-09-19,['美国'],https://movie.douban.com/subject/1292348/
39,8.7,迷魂记,1958-05-09,['美国'],https://movie.douban.com/subject/1297294/
40,8.7,精英部队2：大敌当前,2011-11-25,['巴西'],https://movie.douban.com/subject/4304402/
41,8.7,亚当斯一家的价值观,1993-11-19,['美国'],https://movie.douban.com/subject/1299900/
42,8.7,情枭的黎明,1993-11-10,['美国'],https://movie.douban.com/subject/1292646/
