,评分,片名,年份,地区,豆瓣链接
0,9.6,美丽人生,2020-01-03,['意大利'],https://movie.douban.com/subject/1292063/
1,9.5,辛德勒的名单,1993-11-30,['美国'],https://movie.douban.com/subject/1295124/
2,9.4,高山下的花环,1985-11-07,['中国大陆'],https://movie.douban.com/subject/1422283/
3,9.3,乱世佳人,1939-12-15,['美国'],https://movie.douban.com/subject/1300267/
4,9.3,黎明到来,1955-02-17,['丹麦'],https://movie.douban.com/subject/5062387/
5,9.2,钢琴家,2002-05-24,"['英国', '法国', '波兰', '德国']",https://movie.douban.com/subject/1296736/
6,9.2,沉静如海,2004-10-25,"['法国', '比利时']",https://movie.douban.com/subject/1769507/
7,9.2,地下,1995-04-01,"['南斯拉夫', '法国', '德国', '保加利亚', '捷克', '匈牙利', '英国', '美国']",https://movie.douban.com/subject/1292206/
8,9.2,你逃我也逃,1942-03-06,['美国'],https://movie.douban.com/subject/1303418/
9,9.2,战争与和平,1966-03-14,['苏联'],https://movie.douban.com/subject/1307067/
10,9.2,人间的条件(第五、六部),1961-01-28,['日本'],https://movie.douban.com/subject/1441039/
11,9.2,战争与和平1：安德烈·博尔孔斯基,1965,['苏联'],https://movie.douban.com/subject/1298257/
12,9.2,战争与和平4：皮埃尔·别祖霍夫,1967-11-04,['苏联'],https://movie.douban.com/subject/1297822/
13,9.1,穿条纹睡衣的男孩,2008-09-12,"['英国', '美国']",https://movie.douban.com/subject/3008247/
14,9.1,大独裁者,1940-10-15,['美国'],https://movie.douban.com/subject/1295646/
15,9.1,光荣之路,1957-10-25,['美国'],https://movie.douban.com/subject/1292969/
16,9.1,从海底出击,1981-09-17,['西德'],https://movie.douban.com/subject/1293909/
17,9.1,将军号,1926-12-25,['美国'],https://movie.douban.com/subject/1292778/
18,9.1,革命往事,1971-10-29,['意大利'],https://movie.douban.com/subject/1301026/
19,9.1,士兵之歌,1959-12-01,['苏联'],https://movie.douban.com/subject/1295614/
20,9.1,我们的父辈,2015-12-25,['英国'],https://movie.douban.com/subject/27092246/
21,9.1,秦时明月之一舞倾城,2010-03-25,['中国大陆'],https://movie.douban.com/subject/4804209/
22,9.1,战争与和平2：娜塔莎·罗斯托娃,1966-07-23,['苏联'],https://movie.douban.com/subject/1303712/
23,9.1,战争与和平3：1812年,1967-11-23,['苏联'],https://movie.douban.com/subject/1303079/
24,9.1,法国大革命,1990-09-30,"['法国', '意大利', '西德', '加拿大', '英国']",https://movie.douban.com/subject/2040152/
25,9.0,拯救大兵瑞恩,1998-11-13,['美国'],https://movie.douban.com/subject/1292849/
26,9.0,影武者,1980-04-26,"['日本', '美国']",https://movie.douban.com/subject/1303067/
27,9.0,镜子,1975-03-07,['苏联'],https://movie.douban.com/subject/1299248/
28,9.0,安德烈·卢布廖夫,1971-12-24,['苏联'],https://movie.douban.com/subject/1298248/
29,9.0,尤里西斯的凝视,1995-05-24,"['希腊', '法国', '意大利', '德国', '英国', '南斯拉夫', '罗马尼亚', '阿尔巴尼亚', '波黑']",https://movie.douban.com/subject/1294573/
30,8.9,西西里的美丽传说,2000-10-27,"['意大利', '美国']",https://movie.douban.com/subject/1292402/
31,8.9,勇敢的心,1995-05-18,['美国'],https://movie.douban.com/subject/1294639/
32,8.9,卢旺达饭店,2004-09-11,"['英国', '南非', '意大利', '美国']",https://movie.douban.com/subject/1291822/
33,8.9,虎口脱险,1966-12-08,"['法国', '英国']",https://movie.douban.com/subject/1296909/
34,8.9,赛德克·巴莱(上)：太阳旗,2011-09-09,['中国台湾'],https://movie.douban.com/subject/10450409/
35,8.9,从军记,1918-10-20,['美国'],https://movie.douban.com/subject/1292897/
36,8.9,决战之后,1991,['中国大陆'],https://movie.douban.com/subject/1980790/
37,8.9,我控诉,1919-04-25,['法国'],https://movie.douban.com/subject/2282371/
38,8.8,燃情岁月,1994-12-16,['美国'],https://movie.douban.com/subject/1295865/
39,8.8,魂断蓝桥,1940-05-17,['美国'],https://movie.douban.com/subject/1293964/
40,8.8,赛德克·巴莱,2012-05-10,['中国台湾'],https://movie.douban.com/subject/3993559/
41,8.8,战场上的快乐圣诞,1983-05-11,"['英国', '日本', '新西兰']",https://movie.douban.com/subject/1303535/
42,8.8,赛德克·巴莱(下)：彩虹桥,2011-09-30,['中国台湾'],https://movie.douban.com/subject/6393127/
43,8.8,帝国的毁灭,2004-09-08,"['德国', '奥地利', '意大利']",https://movie.douban.com/subject/1309115/
44,8.8,奇爱博士,1964-01-29,"['美国', '英国']",https://movie.douban.com/subject/1322848/
45,8.8,巴里·林登,1975-12-18,"['英国', '美国']",https://movie.douban.com/subject/1292472/
46,8.8,桥,1969-07-14,['南斯拉夫'],https://movie.douban.com/subject/1305697/
47,8.8,西线无战事,1930-08-24,['美国'],https://movie.douban.com/subject/1295116/
48,8.8,大决战之辽沈战役,1991,['中国大陆'],https://movie.douban.com/subject/1424552/
49,8.8,豹,1963-03-29,"['意大利', '法国']",https://movie.douban.com/subject/1293146/
50,8.8,亨利五世,2012-07-21,['英国'],https://movie.douban.com/subject/10543907/
51,8.8,乌龟也会飞,2004-09-10,"['伊朗', '法国', '伊拉克']",https://movie.douban.com/subject/1400935/
52,8.8,蝴蝶的舌头,1999-09-24,['西班牙'],https://movie.douban.com/subject/1306464/
53,8.8,人间的条件(第一、二部),1959-01-15,['日本'],https://movie.douban.com/subject/1298561/
54,8.8,解放3：主攻方向,1971-06-25,"['苏联', '东德', '波兰']",https://movie.douban.com/subject/1440040/
55,8.8,人间的条件(第三、四部),1959-11-20,['日本'],https://movie.douban.com/subject/1441038/
56,8.7,血战钢锯岭,2016-12-08,"['澳大利亚', '美国']",https://movie.douban.com/subject/26325320/
57,8.7,模仿游戏,2015-07-21,"['英国', '美国']",https://movie.douban.com/subject/10463953/
58,8.7,萤火虫之墓,1988-04-16,['日本'],https://movie.douban.com/subject/1293318/
59,8.7,黑鹰坠落,2001-12-18,"['美国', '英国']",https://movie.douban.com/subject/1291824/
60,8.7,卡萨布兰卡,1943-07-07,['美国'],https://movie.douban.com/subject/1296753/
61,8.7,地雷区,2015-12-03,"['丹麦', '德国']",https://movie.douban.com/subject/26591654/
62,8.7,宾虚,1959-11-18,['美国'],https://movie.douban.com/subject/1293150/
63,8.7,伊万的童年,1962-04-06,['苏联'],https://movie.douban.com/subject/1294421/
64,8.7,暴雨将至,1994-09-01,"['北马其顿', '法国', '英国']",https://movie.douban.com/subject/1303036/
65,8.7,瓦尔特保卫萨拉热窝,1972-11-30,['南斯拉夫'],https://movie.douban.com/subject/1291860/
66,8.7,雁南飞,1957-10-12,['苏联'],https://movie.douban.com/subject/1302077/
67,8.7,这里的黎明静悄悄,1972-11-04,['苏联'],https://movie.douban.com/subject/1303075/
68,8.7,望乡,1974-11-02,['日本'],https://movie.douban.com/subject/1303073/
69,8.7,一九零零,1976-08-16,"['意大利', '法国', '西德']",https://movie.douban.com/subject/1300956/
70,8.7,生命是个奇迹,2004-05-14,"['塞尔维亚', '法国', '意大利']",https://movie.douban.com/subject/1416895/
71,8.7,魂断蓝桥,1931-09-01,['美国'],https://movie.douban.com/subject/1295920/
72,8.7,别了武器,2013-07-20,['日本'],https://movie.douban.com/subject/25839041/
73,8.7,流浪艺人,1975-10-13,['希腊'],https://movie.douban.com/subject/1295759/
