,评分,片名,年份,地区,豆瓣链接
0,9.4,泰坦尼克号,1998-04-03,"['美国', '墨西哥', '澳大利亚', '加拿大']",https://movie.douban.com/subject/1292722/
1,9.4,泰坦尼克号 3D版,2012-04-10,['美国'],https://movie.douban.com/subject/5450891/
2,8.8,生生长流,1992-02-01,['伊朗'],https://movie.douban.com/subject/1303471/
3,8.7,铁达尼号沉没记,1996-11-17,"['加拿大', '美国']",https://movie.douban.com/subject/1296542/
4,8.6,釜山行,2016-05-13,['韩国'],https://movie.douban.com/subject/25986180/
5,8.4,勇往直前,2017-12-08,['美国'],https://movie.douban.com/subject/26718828/
6,8.4,大炮之街,1995,['日本'],https://movie.douban.com/subject/26951746/
7,8.3,后天,2004-05-28,['美国'],https://movie.douban.com/subject/1308779/
8,8.3,卡桑德拉大桥,1976-12-18,"['英国', '意大利', '西德']",https://movie.douban.com/subject/1298917/
9,8.3,冰海沉船,1958-07-01,['英国'],https://movie.douban.com/subject/1292890/
10,8.2,小叮当：永无兽传奇,2014-12-12,['美国'],https://movie.douban.com/subject/26258872/
11,8.1,独立日,1996-07-02,['美国'],https://movie.douban.com/subject/1293013/
12,8.1,群鸟,1963-03-28,['美国'],https://movie.douban.com/subject/1310175/
13,8.1,天劫余生,1993-01-15,['美国'],https://movie.douban.com/subject/1299904/
14,8.0,弗洛斯河上的磨房,1997-05-15,['英国'],https://movie.douban.com/subject/1789047/
15,8.0,巨变之后：人口为零,2006,['美国'],https://movie.douban.com/subject/26286626/
16,7.9,流浪地球,2019-02-05,['中国大陆'],https://movie.douban.com/subject/26266893/
