,评分,片名,年份,地区,豆瓣链接
0,9.3,盗梦空间,2010-09-01,"['美国', '英国']",https://movie.douban.com/subject/3541415/
1,9.3,星际穿越,2014-11-12,"['美国', '英国', '加拿大']",https://movie.douban.com/subject/1889243/
2,9.3,楚门的世界,1998-06-05,['美国'],https://movie.douban.com/subject/1292064/
3,9.3,机器人总动员,2008-06-27,['美国'],https://movie.douban.com/subject/2131459/
4,9.2,蝙蝠侠：黑暗骑士,2008-07-14,"['美国', '英国']",https://movie.douban.com/subject/1851857/
5,9.2,超感猎杀：完结特别篇,2018-06-08,['美国'],https://movie.douban.com/subject/27040774/
6,9.2,赛文奥特曼 我是地球人,1999-12-31,['日本'],https://movie.douban.com/subject/5041031/
7,9.2,新世纪福音战士 第0:0话 诞生之始,1995-12-21,['日本'],https://movie.douban.com/subject/26306741/
8,9.2,少年骇客：变身之谜,2007-08-10,['美国'],https://movie.douban.com/subject/5187955/
9,9.1,黑客帝国,1999-03-31,['美国'],https://movie.douban.com/subject/1291843/
10,9.1,黑镜：圣诞特别篇,2014-12-16,['英国'],https://movie.douban.com/subject/25964630/
11,9.1,攻壳机动队2：无罪,2004-03-06,['日本'],https://movie.douban.com/subject/1291566/
12,9.1,大都会,1927-01-10,['德国'],https://movie.douban.com/subject/1298107/
13,9.1,赛文奥特曼 光荣与传说,1999-07-07,['日本'],https://movie.douban.com/subject/5041026/
14,9.0,红辣椒,2006-09-02,['日本'],https://movie.douban.com/subject/1865703/
15,9.0,攻壳机动队,1995-11-18,['日本'],https://movie.douban.com/subject/1291936/
16,9.0,赛文奥特曼 仿制的男人,1999-12-05,['日本'],https://movie.douban.com/subject/5041030/
17,9.0,高智能方程式赛车 TV总集篇,1992-08-05,['日本'],https://movie.douban.com/subject/4906417/
18,8.9,V字仇杀队,2005-12-11,"['美国', '英国', '德国']",https://movie.douban.com/subject/1309046/
19,8.9,回忆三部曲,1995-12-23,['日本'],https://movie.douban.com/subject/1307897/
20,8.9,博士之日,2013-11-23,['英国'],https://movie.douban.com/subject/23338330/
21,8.9,赛文奥特曼 空中飞舞的大铁块,1999-08-05,['日本'],https://movie.douban.com/subject/5041028/
22,8.8,阿凡达,2010-01-04,['美国'],https://movie.douban.com/subject/1652587/
23,8.8,蝴蝶效应,2004-01-23,"['美国', '加拿大']",https://movie.douban.com/subject/1292343/
24,8.8,蝙蝠侠：黑暗骑士崛起,2012-08-27,"['美国', '英国']",https://movie.douban.com/subject/3395373/
25,8.8,黑客帝国3：矩阵革命,2003-11-05,['美国'],https://movie.douban.com/subject/1302467/
26,8.8,终结者2：审判日,1991-07-03,"['美国', '法国']",https://movie.douban.com/subject/1291844/
27,8.8,2001太空漫游,1968-04-02,"['英国', '美国']",https://movie.douban.com/subject/1292226/
28,8.8,千钧一发,1997-10-24,['美国'],https://movie.douban.com/subject/1300117/
29,8.8,黑客帝国动画版,2003-06-03,['美国'],https://movie.douban.com/subject/1292347/
30,8.8,潜行者,1980-05-13,['苏联'],https://movie.douban.com/subject/1295656/
31,8.8,她的回忆,1995-12-23,['日本'],https://movie.douban.com/subject/5162334/
32,8.8,原始星球,1973-12-06,"['法国', '捷克斯洛伐克']",https://movie.douban.com/subject/1291989/
33,8.8,赛文奥特曼 约定的结果,1999-11-05,['日本'],https://movie.douban.com/subject/5041029/
34,8.7,头号玩家,2018-03-30,['美国'],https://movie.douban.com/subject/4920389/
35,8.7,超能陆战队,2015-02-28,['美国'],https://movie.douban.com/subject/11026735/
36,8.7,人工智能,2001-06-29,"['美国', '英国']",https://movie.douban.com/subject/1302827/
37,8.7,回到未来,1985-07-03,['美国'],https://movie.douban.com/subject/1300555/
38,8.7,正义联盟：闪点悖论,2013-07-30,['美国'],https://movie.douban.com/subject/24718965/
39,8.7,神秘博士：博士之时,2013-12-25,['英国'],https://movie.douban.com/subject/24901000/
40,8.7,别了武器,2013-07-20,['日本'],https://movie.douban.com/subject/25839041/
41,8.7,奈克瑟斯奥特曼剧场版,2004-12-18,['日本'],https://movie.douban.com/subject/1859322/
42,8.7,剧场版 假面骑士零一 REAL×TIME,2020-12-18,['日本'],https://movie.douban.com/subject/35014075/
