,评分,片名,年份,地区,豆瓣链接
0,9.4,第五十一届超级碗,2017-02-05,['美国'],https://movie.douban.com/subject/26961992/
1,9.3,博弈论,2007,['美国'],https://movie.douban.com/subject/3272459/
2,9.3,利物浦2005欧洲冠军杯决赛之路,2005,['英国'],https://movie.douban.com/subject/1764377/
3,9.0,摔跤吧！爸爸,2017-05-05,['印度'],https://movie.douban.com/subject/26387939/
4,8.9,勇士,2011-09-09,['美国'],https://movie.douban.com/subject/3217169/
5,8.9,世上最快的印第安摩托,2005-10-13,"['新西兰', '日本', '美国']",https://movie.douban.com/subject/1449711/
6,8.8,极速风流,2015-12-11,"['英国', '德国', '美国']",https://movie.douban.com/subject/6803494/
7,8.8,追梦赤子心,1993-10-13,['美国'],https://movie.douban.com/subject/1294753/
8,8.8,铁拳男人,2005-06-03,['美国'],https://movie.douban.com/subject/1418519/
9,8.7,弱点,2009-11-20,['美国'],https://movie.douban.com/subject/3552028/
10,8.7,百万美元宝贝,2004-12-15,['美国'],https://movie.douban.com/subject/1309016/
11,8.7,洛奇,1976-12-03,['美国'],https://movie.douban.com/subject/1295742/
12,8.6,光荣之路,2006-01-13,['美国'],https://movie.douban.com/subject/1457219/
13,8.6,光辉岁月,2000-09-29,['美国'],https://movie.douban.com/subject/1292943/
14,8.6,洛奇6：永远的拳王,2006-12-20,['美国'],https://movie.douban.com/subject/1578475/
15,8.6,北壁,2008-10-23,"['德国', '奥地利', '瑞士']",https://movie.douban.com/subject/3271093/
16,8.6,木更津猫眼 日本篇,2003-11-01,['日本'],https://movie.douban.com/subject/1797247/
17,8.5,极速车王,2020-08-07,['美国'],https://movie.douban.com/subject/6538866/
18,8.5,坏孩子的天空,1996-07-27,['日本'],https://movie.douban.com/subject/1299062/
19,8.5,卡特教练,2005-01-14,"['美国', '德国']",https://movie.douban.com/subject/1309017/
20,8.5,飓风,1999-12-14,['美国'],https://movie.douban.com/subject/1294497/
21,8.5,高山上的世界杯,2000-04-21,"['不丹', '澳大利亚']",https://movie.douban.com/subject/1305539/
22,8.5,冰上轻驰,1993-10-01,['美国'],https://movie.douban.com/subject/1295053/
23,8.4,百元之恋,2014-10-25,['日本'],https://movie.douban.com/subject/25761178/
24,8.4,愤怒的公牛,1980-11-14,['美国'],https://movie.douban.com/subject/1293155/
25,8.4,五个扑水的少年,2001-09-15,['日本'],https://movie.douban.com/subject/1301359/
26,8.4,奔腾年代,2003-07-25,['美国'],https://movie.douban.com/subject/1307535/
27,8.4,麦克法兰,2015-02-20,['美国'],https://movie.douban.com/subject/11520649/
28,8.4,洛奇2,1979-06-15,['美国'],https://movie.douban.com/subject/1295281/
29,8.4,和平战士,2006-06-02,"['德国', '美国']",https://movie.douban.com/subject/1772560/
30,8.4,完美对垒,2011-12-22,['韩国'],https://movie.douban.com/subject/6037981/
31,8.4,忍者小英雄,1992-08-07,['美国'],https://movie.douban.com/subject/1307270/
32,8.4,永不独行,2011-11-04,['英国'],https://movie.douban.com/subject/5153322/
33,8.3,点球成金,2011-09-09,['美国'],https://movie.douban.com/subject/3023164/
34,8.3,我在雨中等你,2019-08-09,['美国'],https://movie.douban.com/subject/3882427/
35,8.3,摔角王,2008-09-05,"['美国', '法国']",https://movie.douban.com/subject/3007826/
36,8.3,马拉松,2005-01-27,['韩国'],https://movie.douban.com/subject/1316698/
37,8.3,狗镇之主,2005-06-03,"['美国', '德国']",https://movie.douban.com/subject/1309206/
38,8.3,四海本色,1950,"['英国', '美国']",https://movie.douban.com/subject/1305032/
39,8.3,圣·拉尔夫,2005-04-08,['加拿大'],https://movie.douban.com/subject/1422914/
40,8.3,足球小将 奔向明日！,1986-03-15,['日本'],https://movie.douban.com/subject/5446177/
41,8.3,沙地传奇,1993-04-07,['美国'],https://movie.douban.com/subject/1303786/
42,8.3,奇怪的球赛,1979,['中国大陆'],https://movie.douban.com/subject/2407373/
