,评分,片名,年份,地区,豆瓣链接
0,9.6,天下一家,1985-01-28,['美国'],https://movie.douban.com/subject/3921776/
1,9.5,雅尼：雅典卫城现场音乐会,1994-03-01,"['美国', '英国']",https://movie.douban.com/subject/25712446/
2,9.4,巴黎圣母院,1998,['法国'],https://movie.douban.com/subject/20326557/
3,9.4,神秘博士：2008逍遥音乐会,2008-07-27,['英国'],https://movie.douban.com/subject/3712009/
4,9.4,雅尼2006年拉斯维加斯音乐会,2006,['美国'],https://movie.douban.com/subject/5258042/
5,9.4,Minimum-Maximum,2005-12-02,['德国'],https://movie.douban.com/subject/1947460/
6,9.4,克里斯·波提：波士顿现场,2009,['美国'],https://movie.douban.com/subject/3709654/
7,9.3,海上钢琴师,2019-11-15,['意大利'],https://movie.douban.com/subject/1292001/
8,9.3,放牛班的春天,2004-10-16,"['法国', '瑞士', '德国']",https://movie.douban.com/subject/1291549/
9,9.3,跳出我天地音乐剧,2014-09-28,['英国'],https://movie.douban.com/subject/26264388/
10,9.3,天鹅湖,1969-01-24,['苏联'],https://movie.douban.com/subject/1900866/
11,9.3,神秘博士：2010逍遥音乐会,2010-07-24,['英国'],https://movie.douban.com/subject/5941690/
12,9.3,天鹅湖,2007-12-13,['俄罗斯'],https://movie.douban.com/subject/5962567/
13,9.3,安德烈·波切利米兰大教堂空场独唱,2020-04-12,['意大利'],https://movie.douban.com/subject/35034134/
14,9.2,伙伴们,2008-02-20,"['美国', '日本']",https://movie.douban.com/subject/6524294/
15,9.2,钢琴家,2002-05-24,"['英国', '法国', '波兰', '德国']",https://movie.douban.com/subject/1296736/
16,9.2,摇滚红与黑,2016-09-22,['法国'],https://movie.douban.com/subject/30484534/
17,9.2,丝路花雨,1982,['中国大陆'],https://movie.douban.com/subject/3804492/
18,9.2,悲惨世界：音乐会现场,2019-12-02,['英国'],https://movie.douban.com/subject/34892489/
19,9.2,最佳污点,2000-11-13,['英国'],https://movie.douban.com/subject/1766559/
20,9.2,长腿叔叔,2015,['美国'],https://movie.douban.com/subject/34453831/
21,9.2,胡桃夹子,1994,"['俄罗斯', '法国']",https://movie.douban.com/subject/3533599/
22,9.2,彭彭丁满历险记-电影版,1996-05-08,['美国'],https://movie.douban.com/subject/26921914/
23,9.2,The Cure: Greatest Hits,2001-12-11,['美国'],https://movie.douban.com/subject/2032366/
24,9.2,神秘博士：2013逍遥音乐会,2013-09-11,['英国'],https://movie.douban.com/subject/25717159/
25,9.2,电台司令：最精选,2008,['英国'],https://movie.douban.com/subject/4097111/
26,9.1,寻梦环游记,2017-11-24,['美国'],https://movie.douban.com/subject/20495023/
27,9.1,海绵宝宝音乐剧：舞台直播,2019-12-07,['美国'],https://movie.douban.com/subject/34914989/
28,9.1,史努比，回家吧,1973-06-07,['美国'],https://movie.douban.com/subject/1297777/
29,9.1,年轻岁月合唱团2011巡演,2011-03-22,['美国'],https://movie.douban.com/subject/6097384/
30,9.0,8UPPERS FEATURE MUSIC FILM,2010-10-28,['日本'],https://movie.douban.com/subject/6839118/
31,9.0,雷帝嘎嘎：九一一,2020-09-18,['美国'],https://movie.douban.com/subject/35209758/
32,9.0,云门舞集 - 流浪者之歌,1999,"['德国', '荷兰', '瑞士', '中国台湾']",https://movie.douban.com/subject/2269967/
33,9.0,天空依旧,2007,['美国'],https://movie.douban.com/subject/2269979/
34,8.9,绿皮书,2019-03-01,"['美国', '中国大陆']",https://movie.douban.com/subject/27060077/
35,8.9,幻想曲,1940-11-13,['美国'],https://movie.douban.com/subject/1310179/
36,8.9,幻想曲2000,1999-12-17,['美国'],https://movie.douban.com/subject/1301777/
37,8.9,黄色潜水艇,1968-07-17,"['英国', '美国']",https://movie.douban.com/subject/1305605/
38,8.9,舞台春秋,1952-10-16,['美国'],https://movie.douban.com/subject/1296659/
39,8.9,月球漫步,1988-12-16,['美国'],https://movie.douban.com/subject/1297503/
40,8.9,谜之音,2011-09-03,"['英国', '冰島 Iceland', '加拿大 Canada']",https://movie.douban.com/subject/6799133/
41,8.9,蝙蝠侠同人音乐剧,2012-03-22,['美国'],https://movie.douban.com/subject/10604551/
42,8.9,吉赛尔,1996,['法国'],https://movie.douban.com/subject/2139891/
43,8.8,耶稣基督万世巨星,2000-10-16,['英国'],https://movie.douban.com/subject/1958976/
44,8.8,从容的快板,1977-07-27,['意大利'],https://movie.douban.com/subject/1306568/
45,8.8,美国金曲,1981-02-13,['美国'],https://movie.douban.com/subject/1788311/
46,8.7,心灵奇旅,2020-12-25,['美国'],https://movie.douban.com/subject/24733428/
47,8.7,波西米亚狂想曲,2019-03-22,"['英国', '美国']",https://movie.douban.com/subject/5300054/
48,8.7,爆裂鼓手,2014-01-16,['美国'],https://movie.douban.com/subject/25773932/
49,8.7,莫扎特传,1984-09-19,"['美国', '法国', '捷克斯洛伐克', '意大利']",https://movie.douban.com/subject/1293399/
50,8.7,五至七时的克莱奥,1962-04-11,"['法国', '意大利']",https://movie.douban.com/subject/1294565/
51,8.7,摇滚芭比,2001-07-20,['美国'],https://movie.douban.com/subject/1301926/
52,8.7,弗拉门戈,1995-06-16,['西班牙'],https://movie.douban.com/subject/1418627/
53,8.7,贾斯汀·汀布莱克：西服与领带,2013,['美国'],https://movie.douban.com/subject/26290428/
54,8.7,粉红豹大冒险动画连续剧,1993,[],https://movie.douban.com/subject/2148184/
55,8.7,彼得与狼：普罗柯菲耶夫的交响童话,1993-12-26,['美国'],https://movie.douban.com/subject/2972580/
56,8.7,这不是弥赛亚,2010-03-25,['英国'],https://movie.douban.com/subject/4876176/
57,8.7,疯狂兔宝宝,1979-09-30,['美国'],https://movie.douban.com/subject/1308446/
58,8.6,再次出发之纽约遇见你,2015-06-26,['美国'],https://movie.douban.com/subject/6874403/
59,8.6,海盗电台,2009-04-01,"['英国', '德国', '法国']",https://movie.douban.com/subject/3007773/
60,8.6,昨天,2001-09-04,['中国大陆'],https://movie.douban.com/subject/1308086/
61,8.6,想飞的钢琴少年,2010-05-28,['瑞士'],https://movie.douban.com/subject/1900840/
62,8.6,石榴的颜色,1969,['苏联'],https://movie.douban.com/subject/1303542/
63,8.6,爵士春秋,1979-12-20,['美国'],https://movie.douban.com/subject/1299330/
64,8.6,艾美的世界,1997-09-12,['澳大利亚'],https://movie.douban.com/subject/1295025/
