,评分,片名,年份,地区,豆瓣链接
0,8.8,日落大道,1950-08-10,['美国'],https://movie.douban.com/subject/1298733/
1,8.7,倒扣的王牌,1951-06-29,['美国'],https://movie.douban.com/subject/1293841/
2,8.6,杀手,1956-05-19,['美国'],https://movie.douban.com/subject/1293936/
3,8.5,双重赔偿,1944-07-03,['美国'],https://movie.douban.com/subject/1293226/
4,8.3,爱德华大夫,1945-12-28,['美国'],https://movie.douban.com/subject/1293973/
5,8.3,M就是凶手,1931-05-11,['德国'],https://movie.douban.com/subject/1293381/
6,8.3,煤气灯下,1944-05-11,['美国'],https://movie.douban.com/subject/1296845/
7,8.3,通往绞刑架的电梯,1958-01-29,['法国'],https://movie.douban.com/subject/1394342/
8,8.3,四海本色,1950,"['英国', '美国']",https://movie.douban.com/subject/1305032/
9,8.3,歼匪喋血战,1949-09-02,['美国'],https://movie.douban.com/subject/1301216/
10,8.3,私枭血,1939-10-23,['美国'],https://movie.douban.com/subject/1294978/
