,评分,片名,年份,地区,豆瓣链接
0,9.3,末代皇帝,1987-10-04,"['英国', '意大利', '中国大陆', '法国']",https://movie.douban.com/subject/1293172/
1,9.3,南海十三郎,1997-05-15,['中国香港'],https://movie.douban.com/subject/1303913/
2,9.2,钢琴家,2002-05-24,"['英国', '法国', '波兰', '德国']",https://movie.douban.com/subject/1296736/
3,9.2,剃头匠,2006-10-24,['中国大陆'],https://movie.douban.com/subject/3097352/
4,9.2,世界滞在记：18岁的小栗旬在西伯利亚,2009-01-09,['日本'],https://movie.douban.com/subject/26258817/
5,9.2,演员工作室：凯文·史派西,2000-07-02,['美国'],https://movie.douban.com/subject/3125162/
6,9.1,当幸福来敲门,2008-01-17,['美国'],https://movie.douban.com/subject/1849031/
7,9.1,猫鼠游戏,2003-04-11,"['美国', '加拿大']",https://movie.douban.com/subject/1305487/
8,9.1,音乐之声,1965-03-02,['美国'],https://movie.douban.com/subject/1294408/
9,9.1,莫娣,2016-09-02,"['爱尔兰', '加拿大']",https://movie.douban.com/subject/25938803/
10,9.1,袁隆平,2009-03-19,['中国大陆'],https://movie.douban.com/subject/3737287/
11,9.1,南特的雅克·德米,1991-05-15,['法国'],https://movie.douban.com/subject/1394410/
12,9.1,神奇的费曼先生,2013-05-12,['英国'],https://movie.douban.com/subject/24696708/
13,9.1,杰拉德：永不独行,2016,['中国大陆'],https://movie.douban.com/subject/30291567/
14,9.0,摔跤吧！爸爸,2017-05-05,['印度'],https://movie.douban.com/subject/26387939/
15,9.0,美丽心灵,2001-12-13,['美国'],https://movie.douban.com/subject/1306029/
16,9.0,红鳉鱼,2015-12-28,['日本'],https://movie.douban.com/subject/26266892/
17,9.0,镜子,1975-03-07,['苏联'],https://movie.douban.com/subject/1299248/
18,9.0,安德烈·卢布廖夫,1971-12-24,['苏联'],https://movie.douban.com/subject/1298248/
19,9.0,皮罗斯马尼,1972-05-15,['苏联'],https://movie.douban.com/subject/3271800/
20,9.0,坐在人生边上——杨绛,2011-12-17,['中国大陆'],https://movie.douban.com/subject/26803826/
21,8.9,绿皮书,2019-03-01,"['美国', '中国大陆']",https://movie.douban.com/subject/27060077/
22,8.9,勇敢的心,1995-05-18,['美国'],https://movie.douban.com/subject/1294639/
23,8.9,卢旺达饭店,2004-09-11,"['英国', '南非', '意大利', '美国']",https://movie.douban.com/subject/1291822/
24,8.9,隐藏人物,2016-12-25,['美国'],https://movie.douban.com/subject/26615208/
25,8.9,自闭历程,2010-02-06,['美国'],https://movie.douban.com/subject/3236904/
26,8.9,天佑鲍比,2009-01-24,['美国'],https://movie.douban.com/subject/3154003/
27,8.9,世上最快的印第安摩托,2005-10-13,"['新西兰', '日本', '美国']",https://movie.douban.com/subject/1449711/
28,8.9,他们在岛屿写作：读中文系的人,2015-12-18,['中国台湾'],https://movie.douban.com/subject/26687580/
29,8.8,达拉斯买家俱乐部,2013-09-07,['美国'],https://movie.douban.com/subject/1793929/
30,8.8,聚焦,2015-09-03,['美国'],https://movie.douban.com/subject/25954475/
31,8.8,爱尔兰人,2019-09-27,['美国'],https://movie.douban.com/subject/6981153/
32,8.8,极速风流,2015-12-11,"['英国', '德国', '美国']",https://movie.douban.com/subject/6803494/
33,8.8,沙漠之花,2009-09-24,"['英国', '德国', '奥地利', '法国']",https://movie.douban.com/subject/3430271/
34,8.8,帝国的毁灭,2004-09-08,"['德国', '奥地利', '意大利']",https://movie.douban.com/subject/1309115/
35,8.8,追梦赤子心,1993-10-13,['美国'],https://movie.douban.com/subject/1294753/
36,8.8,铁拳男人,2005-06-03,['美国'],https://movie.douban.com/subject/1418519/
37,8.8,童年往事,1985-08-03,['中国台湾'],https://movie.douban.com/subject/1300572/
38,8.8,因父之名,1993-12-27,"['爱尔兰', '英国', '美国']",https://movie.douban.com/subject/1297009/
39,8.8,刺杀肯尼迪,1991-12-20,"['美国', '法国']",https://movie.douban.com/subject/1292230/
40,8.8,邮差,1994-09-01,"['意大利', '法国', '比利时']",https://movie.douban.com/subject/1298468/
41,8.8,相约星期二,1999-12-05,['美国'],https://movie.douban.com/subject/1438746/
42,8.8,耶稣基督万世巨星,2000-10-16,['英国'],https://movie.douban.com/subject/1958976/
43,8.8,阿尔卡特兹的养鸟人,1962-07-03,['美国'],https://movie.douban.com/subject/1469105/
44,8.8,贤治之春,1996-12-14,['日本'],https://movie.douban.com/subject/1458035/
45,8.8,没有无辜的旁观者,2012-03-27,['英国'],https://movie.douban.com/subject/6129661/
46,8.7,血战钢锯岭,2016-12-08,"['澳大利亚', '美国']",https://movie.douban.com/subject/26325320/
47,8.7,模仿游戏,2015-07-21,"['英国', '美国']",https://movie.douban.com/subject/10463953/
48,8.7,波西米亚狂想曲,2019-03-22,"['英国', '美国']",https://movie.douban.com/subject/5300054/
49,8.7,弱点,2009-11-20,['美国'],https://movie.douban.com/subject/3552028/
50,8.7,我在伊朗长大,2007-05-23,"['法国', '美国']",https://movie.douban.com/subject/1962116/
51,8.7,莫扎特传,1984-09-19,"['美国', '法国', '捷克斯洛伐克', '意大利']",https://movie.douban.com/subject/1293399/
52,8.7,弗里达,2002-08-29,"['美国', '墨西哥', '加拿大']",https://movie.douban.com/subject/1291852/
53,8.7,阿拉伯的劳伦斯,1962-12-10,['英国'],https://movie.douban.com/subject/1292349/
54,8.7,十月的天空,1999-02-19,['美国'],https://movie.douban.com/subject/1293753/
55,8.7,查令十字街84号,1987-02-13,"['英国', '美国']",https://movie.douban.com/subject/1299481/
56,8.7,巴比龙,1973-12-16,"['法国', '美国']",https://movie.douban.com/subject/1293820/
57,8.7,圣女贞德蒙难记,1928-10-25,['法国'],https://movie.douban.com/subject/1293783/
58,8.7,神迹,2004-05-30,['美国'],https://movie.douban.com/subject/1401196/
59,8.7,卡斯帕尔·豪泽尔之谜,1974-11-01,['西德'],https://movie.douban.com/subject/1296583/
60,8.7,现实之舞,2013-05-18,['智利'],https://movie.douban.com/subject/19955955/
61,8.7,三个臭皮匠,2000-04-24,['美国'],https://movie.douban.com/subject/1301013/
62,8.7,佩拉斯卡,2002-01-28,"['意大利', '法国', '瑞典', '匈牙利']",https://movie.douban.com/subject/1439730/
63,8.6,荒野生存,2007-09-21,['美国'],https://movie.douban.com/subject/1905462/
64,8.6,叫我第一名,2008-12-07,['美国'],https://movie.douban.com/subject/4798888/
65,8.6,时时刻刻,2002-12-27,"['美国', '英国']",https://movie.douban.com/subject/1305666/
66,8.6,阮玲玉,1991-11-29,['中国香港'],https://movie.douban.com/subject/1293414/
67,8.6,走出非洲,1985-12-10,['美国'],https://movie.douban.com/subject/1291840/
68,8.6,教宗的承继,2019-08-31,"['英国', '意大利']",https://movie.douban.com/subject/27132510/
