,评分,片名,年份,地区,豆瓣链接
0,9.3,盗梦空间,2010-09-01,"['美国', '英国']",https://movie.douban.com/subject/3541415/
1,9.3,星际穿越,2014-11-12,"['美国', '英国', '加拿大']",https://movie.douban.com/subject/1889243/
2,9.3,机器人总动员,2008-06-27,['美国'],https://movie.douban.com/subject/2131459/
3,9.3,指环王3：王者无敌,2004-03-12,"['美国', '新西兰']",https://movie.douban.com/subject/1291552/
4,9.3,七武士,1954-04-26,['日本'],https://movie.douban.com/subject/1295399/
5,9.2,疯狂动物城,2016-03-04,['美国'],https://movie.douban.com/subject/25662329/
6,9.2,龙猫,2018-12-14,['日本'],https://movie.douban.com/subject/1291560/
7,9.2,指环王2：双塔奇兵,2003-04-25,"['美国', '新西兰']",https://movie.douban.com/subject/1291572/
8,9.2,海蒂和爷爷,2019-05-16,"['德国', '瑞士']",https://movie.douban.com/subject/25958717/
9,9.2,黄金三镖客,1966-12-23,"['意大利', '西班牙', '西德']",https://movie.douban.com/subject/1401118/
10,9.2,淘金记,1925-06-26,['美国'],https://movie.douban.com/subject/1298817/
11,9.2,少年骇客：变身之谜,2007-08-10,['美国'],https://movie.douban.com/subject/5187955/
12,9.1,少年派的奇幻漂流,2012-11-22,"['美国', '中国台湾', '英国', '加拿大']",https://movie.douban.com/subject/1929463/
13,9.1,飞屋环游记,2009-08-04,['美国'],https://movie.douban.com/subject/2129039/
14,9.1,哈利·波特与魔法石,2002-01-26,"['美国', '英国']",https://movie.douban.com/subject/1295038/
15,9.1,哈尔的移动城堡,2004-09-05,['日本'],https://movie.douban.com/subject/1308807/
16,9.1,指环王1：护戒使者,2002-04-04,"['新西兰', '美国']",https://movie.douban.com/subject/1291571/
17,9.1,天空之城,1992-05-01,['日本'],https://movie.douban.com/subject/1291583/
18,9.1,狮子王,1995-07-15,['美国'],https://movie.douban.com/subject/1301753/
19,9.1,哪吒闹海,1979-05-19,['中国大陆'],https://movie.douban.com/subject/1307315/
20,9.1,从海底出击,1981-09-17,['西德'],https://movie.douban.com/subject/1293909/
21,9.1,将军号,1926-12-25,['美国'],https://movie.douban.com/subject/1292778/
22,9.1,革命往事,1971-10-29,['意大利'],https://movie.douban.com/subject/1301026/
23,9.1,丛林赤子心,1987-06-05,['美国'],https://movie.douban.com/subject/1473562/
24,8.9,布达佩斯大饭店,2014-02-06,"['美国', '德国', '英国']",https://movie.douban.com/subject/11525673/
25,8.9,哈利·波特与死亡圣器(下),2011-08-04,"['美国', '英国']",https://movie.douban.com/subject/3011235/
26,8.9,借东西的小人阿莉埃蒂,2010-07-17,['日本'],https://movie.douban.com/subject/4202302/
27,8.9,幽灵公主,1997-07-12,['日本'],https://movie.douban.com/subject/1297359/
28,8.9,玩具总动员3,2010-06-16,['美国'],https://movie.douban.com/subject/1858711/
29,8.9,风之谷,1984-03-11,['日本'],https://movie.douban.com/subject/1291585/
30,8.9,伴我同行,1986-08-08,['美国'],https://movie.douban.com/subject/1292925/
31,8.9,与狼共舞,1990-11-21,"['美国', '英国']",https://movie.douban.com/subject/1293764/
32,8.9,伴你高飞,1996-09-13,['美国'],https://movie.douban.com/subject/1292642/
33,8.9,心理游戏,2004-08-07,['日本'],https://movie.douban.com/subject/1477916/
34,8.9,黄色潜水艇,1968-07-17,"['英国', '美国']",https://movie.douban.com/subject/1305605/
35,8.9,史努比的惊险夏令营,1977-08-24,['美国'],https://movie.douban.com/subject/2139403/
36,8.8,阿凡达,2010-01-04,['美国'],https://movie.douban.com/subject/1652587/
37,8.8,加勒比海盗,2003-11-21,['美国'],https://movie.douban.com/subject/1298070/
38,8.8,哈利·波特与密室,2003-01-24,"['英国', '美国']",https://movie.douban.com/subject/1296996/
39,8.8,哈利·波特与阿兹卡班的囚徒,2004-09-10,"['英国', '美国']",https://movie.douban.com/subject/1291544/
40,8.8,被解救的姜戈,2013-05-12,['美国'],https://movie.douban.com/subject/6307447/
41,8.8,大鱼,2003-12-04,['美国'],https://movie.douban.com/subject/1291545/
42,8.8,2001太空漫游,1968-04-02,"['英国', '美国']",https://movie.douban.com/subject/1292226/
