,评分,片名,年份,地区,豆瓣链接
0,9.6,美丽人生,2020-01-03,['意大利'],https://movie.douban.com/subject/1292063/
1,9.6,憨豆先生精选辑,1995-12-15,['英国'],https://movie.douban.com/subject/5133063/
2,9.5,福尔摩斯二世,1924-04-21,['美国'],https://movie.douban.com/subject/1303408/
3,9.5,黄子华栋笃笑之金盆𠺘口,2018-07-06,['中国香港'],https://movie.douban.com/subject/30203557/
4,9.4,极品基老伴：完结篇,2016-06-19,['英国'],https://movie.douban.com/subject/26700818/
5,9.3,放牛班的春天,2004-10-16,"['法国', '瑞士', '德国']",https://movie.douban.com/subject/1291549/
6,9.3,触不可及,2011-11-02,['法国'],https://movie.douban.com/subject/6786002/
7,9.3,鬼子来了,2000-05-12,['中国大陆'],https://movie.douban.com/subject/1291858/
8,9.3,摩登时代,1936-02-25,['美国'],https://movie.douban.com/subject/1294371/
9,9.3,城市之光,1931-01-30,['美国'],https://movie.douban.com/subject/1293908/
10,9.3,老友记重聚特辑,2021-05-27,['美国'],https://movie.douban.com/subject/34908189/
11,9.3,狐妖小红娘剧场版：王权富贵,2016-05-20,['中国大陆'],https://movie.douban.com/subject/26946612/
12,9.3,丹尼尔·斯洛斯：现场表演,2018-09-11,['美国'],https://movie.douban.com/subject/30312425/
13,9.3,西蒙·阿姆斯特尔：顺其自然,2010,['英国'],https://movie.douban.com/subject/6309377/
14,9.3,拽妹黛薇儿要上大学了没,2002-01-21,['美国'],https://movie.douban.com/subject/2054458/
15,9.3,跳出我天地音乐剧,2014-09-28,['英国'],https://movie.douban.com/subject/26264388/
16,9.3,米兰达：我的欢乐庆典,2020-01-01,['英国'],https://movie.douban.com/subject/34937094/
17,9.2,三傻大闹宝莱坞,2011-12-08,['印度'],https://movie.douban.com/subject/3793023/
18,9.2,疯狂动物城,2016-03-04,['美国'],https://movie.douban.com/subject/25662329/
19,9.2,大话西游之大圣娶亲,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292213/
20,9.2,淘金记,1925-06-26,['美国'],https://movie.douban.com/subject/1298817/
21,9.2,寻子遇仙记,1921-02-06,['美国'],https://movie.douban.com/subject/1293270/
22,9.2,你逃我也逃,1942-03-06,['美国'],https://movie.douban.com/subject/1303418/
23,9.2,马戏团,1928-01-06,['美国'],https://movie.douban.com/subject/1299628/
24,9.2,欢乐树的朋友们：第二发球,2003,['美国'],https://movie.douban.com/subject/1393471/
25,9.2,欢乐树的朋友们：第三击,2004-08-01,['美国'],https://movie.douban.com/subject/1393472/
26,9.2,迪兰·莫兰：脱身,2015-11-30,['英国'],https://movie.douban.com/subject/26691373/
27,9.2,乔治·卡林：你们都有病,1999,['美国'],https://movie.douban.com/subject/4199429/
28,9.1,怦然心动,2010-07-26,['美国'],https://movie.douban.com/subject/3319755/
29,9.1,寻梦环游记,2017-11-24,['美国'],https://movie.douban.com/subject/20495023/
30,9.1,飞屋环游记,2009-08-04,['美国'],https://movie.douban.com/subject/2129039/
31,9.1,两杆大烟枪,1998-08-28,['英国'],https://movie.douban.com/subject/1293350/
32,9.1,雨中曲,1952-04-11,['美国'],https://movie.douban.com/subject/1293460/
33,9.1,大独裁者,1940-10-15,['美国'],https://movie.douban.com/subject/1295646/
34,9.1,将军号,1926-12-25,['美国'],https://movie.douban.com/subject/1292778/
35,9.1,普吉岛的最后黄昏,2021-05-20,['泰国'],https://movie.douban.com/subject/35472124/
36,9.1,流浪者之歌,1988-12-21,"['意大利', '英国', '南斯拉夫']",https://movie.douban.com/subject/1303525/
37,9.1,欢乐树的朋友们,2006-05-03,['美国'],https://movie.douban.com/subject/4181031/
38,9.1,欢乐树的朋友们：赶尽杀绝,2005-11-28,['美国'],https://movie.douban.com/subject/3075070/
39,9.1,欢乐树的朋友们：滑雪巡逻救生队,2006-04-12,['美国'],https://movie.douban.com/subject/3075092/
40,9.1,迪兰·莫兰：是什么？,2009,"['英国', '澳大利亚']",https://movie.douban.com/subject/4850732/
41,9.1,卓别林短片精选,1959-09-01,"['英国', '美国']",https://movie.douban.com/subject/1483626/
42,9.0,我不是药神,2018-07-05,['中国大陆'],https://movie.douban.com/subject/26752088/
43,9.0,大话西游之月光宝盒,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1299398/
44,9.0,罗马假日,1953-08-20,['美国'],https://movie.douban.com/subject/1293839/
45,9.0,东京教父,2003-11-08,['日本'],https://movie.douban.com/subject/1310177/
46,9.0,西力传,1983-07-15,['美国'],https://movie.douban.com/subject/1293846/
47,9.0,欢乐树的朋友们：第一滴血,2002-02-18,"['美国', '英国']",https://movie.douban.com/subject/1393470/
48,9.0,木更津猫眼 世界系列,2006-10-28,['日本'],https://movie.douban.com/subject/1793394/
49,9.0,阿德曼动画精选：超级无敌掌门狗,1996-06-14,['英国'],https://movie.douban.com/subject/1294132/
50,9.0,小不列颠：现场版,2006-11-13,['英国'],https://movie.douban.com/subject/1957937/
51,9.0,日本之形,2007-02-10,['日本'],https://movie.douban.com/subject/2085511/
52,9.0,克里斯·洛克：无所畏惧,2004-04-17,['美国'],https://movie.douban.com/subject/2173593/
53,8.9,让子弹飞,2010-12-16,"['中国大陆', '中国香港']",https://movie.douban.com/subject/3742360/
54,8.9,绿皮书,2019-03-01,"['美国', '中国大陆']",https://movie.douban.com/subject/27060077/
55,8.9,布达佩斯大饭店,2014-02-06,"['美国', '德国', '英国']",https://movie.douban.com/subject/11525673/
56,8.9,低俗小说,1994-05-12,['美国'],https://movie.douban.com/subject/1291832/
57,8.9,7号房的礼物,2013-01-23,['韩国'],https://movie.douban.com/subject/10777687/
58,8.9,玩具总动员3,2010-06-16,['美国'],https://movie.douban.com/subject/1858711/
59,8.9,玛丽和马克思,2009-01-15,"['澳大利亚', '美国']",https://movie.douban.com/subject/3072124/
60,8.9,喜宴,1993-08-04,"['中国台湾', '美国']",https://movie.douban.com/subject/1303037/
61,8.9,虎口脱险,1966-12-08,"['法国', '英国']",https://movie.douban.com/subject/1296909/
62,8.9,芝加哥,2002-12-27,"['美国', '德国']",https://movie.douban.com/subject/1307697/
63,8.9,热情如火,1959-03-29,['美国'],https://movie.douban.com/subject/1292574/
64,8.9,心理游戏,2004-08-07,['日本'],https://movie.douban.com/subject/1477916/
65,8.9,玉女风流,1961-12-16,['美国'],https://movie.douban.com/subject/1298241/
66,8.9,黄色潜水艇,1968-07-17,"['英国', '美国']",https://movie.douban.com/subject/1305605/
67,8.9,七次机会,1925-03-11,['美国'],https://movie.douban.com/subject/1300352/
68,8.9,安全至下,1923-04-01,['美国'],https://movie.douban.com/subject/1303388/
69,8.9,从军记,1918-10-20,['美国'],https://movie.douban.com/subject/1292897/
70,8.9,魔法阿妈,1998-04-03,['中国台湾'],https://movie.douban.com/subject/1299227/
71,8.9,舞台春秋,1952-10-16,['美国'],https://movie.douban.com/subject/1296659/
72,8.9,阿曼动画之超级无敌掌门狗系列1,1995-06-15,['英国'],https://movie.douban.com/subject/1295529/
73,8.9,同性三分亲,1988-12-14,['美国'],https://movie.douban.com/subject/1301750/
74,8.8,寄生虫,2019-05-21,['韩国'],https://movie.douban.com/subject/27010768/
75,8.8,喜剧之王,1999-02-13,['中国香港'],https://movie.douban.com/subject/1302425/
76,8.8,阳光姐妹淘,2011-05-04,['韩国'],https://movie.douban.com/subject/4917726/
77,8.8,时空恋旅人,2013-09-04,['英国'],https://movie.douban.com/subject/10577869/
78,8.8,菊次郎的夏天,2020-09-25,['日本'],https://movie.douban.com/subject/1293359/
79,8.8,幸福终点站,2005-01-14,['美国'],https://movie.douban.com/subject/1292274/
80,8.8,荒蛮故事,2014-05-17,"['阿根廷', '西班牙']",https://movie.douban.com/subject/24750126/
81,8.8,纵横四海,1991-02-02,['中国香港'],https://movie.douban.com/subject/1295409/
82,8.8,坠入,2006-09-09,"['美国', '南非', '印度']",https://movie.douban.com/subject/1890572/
83,8.8,我能说,2017-09-21,['韩国'],https://movie.douban.com/subject/27000061/
84,8.8,奇爱博士,1964-01-29,"['美国', '英国']",https://movie.douban.com/subject/1322848/
85,8.8,再见列宁,2003-02-09,['德国'],https://movie.douban.com/subject/1292055/
86,8.8,面子,2004-09-12,['美国'],https://movie.douban.com/subject/1421278/
87,8.8,上帝也疯狂2,1989-07-26,"['南非', '博茨瓦纳']",https://movie.douban.com/subject/1294490/
88,8.8,我的邻居山田君,1999-07-17,['日本'],https://movie.douban.com/subject/1417728/
