,评分,片名,年份,地区,豆瓣链接
0,9.4,灿烂人生,2003-06-22,['意大利'],https://movie.douban.com/subject/1291831/
1,9.3,活着,1994-05-17,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1292365/
2,9.2,海蒂和爷爷,2019-05-16,"['德国', '瑞士']",https://movie.douban.com/subject/25958717/
3,9.2,小鞋子,1997-02-01,['伊朗'],https://movie.douban.com/subject/1303021/
4,9.2,寻子遇仙记,1921-02-06,['美国'],https://movie.douban.com/subject/1293270/
5,9.2,哀乐中年,1949,['中国大陆'],https://movie.douban.com/subject/4719384/
6,9.2,乔治·卡林：王者归来,1996-03-11,['美国'],https://movie.douban.com/subject/3054636/
7,9.1,当幸福来敲门,2008-01-17,['美国'],https://movie.douban.com/subject/1849031/
8,9.1,饮食男女,1994-08-03,"['中国台湾', '美国']",https://movie.douban.com/subject/1291818/
9,9.1,一一,2000-05-14,"['中国台湾', '日本']",https://movie.douban.com/subject/1292434/
10,9.1,东京物语,1953-11-03,['日本'],https://movie.douban.com/subject/1291568/
11,9.1,爱·回家,2002-04-05,['韩国'],https://movie.douban.com/subject/1299361/
12,9.1,情迷意乱,1964-01-15,['日本'],https://movie.douban.com/subject/1422091/
13,9.1,飞翔的梦,1990,"['捷克斯洛伐克', '加拿大']",https://movie.douban.com/subject/1305995/
14,9.1,史努比，回家吧,1973-06-07,['美国'],https://movie.douban.com/subject/1297777/
15,9.0,摔跤吧！爸爸,2017-05-05,['印度'],https://movie.douban.com/subject/26387939/
16,9.0,我是山姆,2001-12-03,['美国'],https://movie.douban.com/subject/1306861/
17,9.0,楢山节考,1983-04-29,['日本'],https://movie.douban.com/subject/1296703/
18,9.0,秋日奏鸣曲,1978-10-08,"['瑞典', '法国', '西德', '英国']",https://movie.douban.com/subject/1297268/
19,9.0,海蒂,1993-07-18,"['美国', '意大利']",https://movie.douban.com/subject/1925081/
20,9.0,小猫虎子,1997-12-18,['俄罗斯'],https://movie.douban.com/subject/2173840/
21,9.0,梦幻妈妈,2000,['加拿大'],https://movie.douban.com/subject/1510359/
22,8.9,7号房的礼物,2013-01-23,['韩国'],https://movie.douban.com/subject/10777687/
23,8.9,喜宴,1993-08-04,"['中国台湾', '美国']",https://movie.douban.com/subject/1303037/
24,8.9,地球上的星星,2007-12-21,['印度'],https://movie.douban.com/subject/2363506/
25,8.9,勇士,2011-09-09,['美国'],https://movie.douban.com/subject/3217169/
26,8.9,伦敦一家人,2016-10-15,['英国'],https://movie.douban.com/subject/5327189/
27,8.9,伴你高飞,1996-09-13,['美国'],https://movie.douban.com/subject/1292642/
28,8.9,女人，四十,1995-05-04,['中国香港'],https://movie.douban.com/subject/1308162/
29,8.9,我的父亲，我的儿子,2005-11-18,['土耳其'],https://movie.douban.com/subject/1793200/
30,8.9,红柿子,1997-04-13,['中国台湾'],https://movie.douban.com/subject/1303637/
31,8.9,史努比的惊险夏令营,1977-08-24,['美国'],https://movie.douban.com/subject/2139403/
32,8.9,克拉姆一家,1991-10-04,['丹麦'],https://movie.douban.com/subject/1769053/
33,8.9,做我的情人吧，查理·布朗,1975-01-28,['美国'],https://movie.douban.com/subject/2972559/
34,8.9,小熊维尼：感恩的季节,1999-11-08,['美国'],https://movie.douban.com/subject/1299325/
35,8.9,克拉姆一家2,1992-12-04,['丹麦'],https://movie.douban.com/subject/1775004/
36,8.8,断背山,2005-09-02,"['美国', '加拿大']",https://movie.douban.com/subject/1418834/
37,8.8,大鱼,2003-12-04,['美国'],https://movie.douban.com/subject/1291545/
38,8.8,海街日记,2015-05-14,['日本'],https://movie.douban.com/subject/25895901/
39,8.8,房间,2015-09-04,"['爱尔兰', '加拿大', '英国', '美国']",https://movie.douban.com/subject/25724855/
40,8.8,步履不停,2008-06-28,['日本'],https://movie.douban.com/subject/2222996/
41,8.8,比海更深,2016-05-18,['日本'],https://movie.douban.com/subject/26694988/
42,8.8,跳出我天地,2000-05-19,"['英国', '法国']",https://movie.douban.com/subject/1301169/
43,8.8,奇迹,2011-06-11,['日本'],https://movie.douban.com/subject/4832288/
44,8.8,野草莓,1957-12-26,['瑞典'],https://movie.douban.com/subject/1293071/
45,8.8,我的邻居山田君,1999-07-17,['日本'],https://movie.douban.com/subject/1417728/
46,8.8,东京家族,2013-01-19,['日本'],https://movie.douban.com/subject/5996409/
47,8.8,铁拳男人,2005-06-03,['美国'],https://movie.douban.com/subject/1418519/
48,8.8,童年往事,1985-08-03,['中国台湾'],https://movie.douban.com/subject/1300572/
49,8.8,过年,1991-02-12,['中国大陆'],https://movie.douban.com/subject/1296218/
50,8.8,永远的三丁目的夕阳,2005-11-05,['日本'],https://movie.douban.com/subject/1463224/
51,8.8,金色池塘,1982-01-22,"['英国', '美国']",https://movie.douban.com/subject/1293767/
52,8.8,鲁冰花,1989-08-26,['中国台湾'],https://movie.douban.com/subject/1308228/
53,8.8,彩虹照耀,2009-06-13,"['加拿大', '爱尔兰']",https://movie.douban.com/subject/3750554/
54,8.8,儿子,1991-10-12,['日本'],https://movie.douban.com/subject/1417545/
55,8.8,我的朋友乔,1996-04-26,"['英国', '德国', '爱尔兰']",https://movie.douban.com/subject/1299345/
56,8.7,小偷家族,2018-08-03,['日本'],https://movie.douban.com/subject/27622447/
57,8.7,岁月神偷,2010-04-16,"['中国香港', '中国大陆']",https://movie.douban.com/subject/3792799/
58,8.7,弱点,2009-11-20,['美国'],https://movie.douban.com/subject/3552028/
