,评分,片名,年份,地区,豆瓣链接
0,9.0,惊魂记,1960-06-16,['美国'],https://movie.douban.com/subject/1293181/
1,8.9,卡里加里博士的小屋,1920-02-26,['德国'],https://movie.douban.com/subject/1292547/
2,8.7,电锯惊魂,2004-01-19,['美国'],https://movie.douban.com/subject/1417598/
3,8.7,死亡之夜,1945-09-04,['英国'],https://movie.douban.com/subject/1305323/
4,8.7,巴斯克维尔的猎犬,1988-08-31,['英国'],https://movie.douban.com/subject/1298415/
5,8.6,笑面人,1928-12-07,['美国'],https://movie.douban.com/subject/1948732/
6,8.5,怪谈,1964-12-29,['日本'],https://movie.douban.com/subject/1303083/
7,8.5,圣血,1989,"['墨西哥', '意大利']",https://movie.douban.com/subject/1295255/
8,8.5,浮士德,1926-10-14,['德国'],https://movie.douban.com/subject/1305235/
9,8.5,吹笛子的男人,1985,"['捷克斯洛伐克', '西德']",https://movie.douban.com/subject/1481913/
10,8.4,幽灵马车,1921-01-01,['瑞典'],https://movie.douban.com/subject/1465471/
11,8.4,复仇之日,1943-11-13,['丹麦'],https://movie.douban.com/subject/1305896/
12,8.4,变身怪医,2001-03-10,['美国'],https://movie.douban.com/subject/1464646/
13,8.3,闪灵,1980-05-23,"['英国', '美国']",https://movie.douban.com/subject/1292225/
14,8.3,电锯惊魂2,2005-10-28,"['美国', '加拿大']",https://movie.douban.com/subject/1309045/
15,8.3,世界奇妙物语 电影特别篇,2000-11-03,['日本'],https://movie.douban.com/subject/1305388/
16,8.3,第十三层,1988,['澳大利亚'],https://movie.douban.com/subject/1303164/
17,8.3,焚尸人,1969-03-14,['捷克斯洛伐克'],https://movie.douban.com/subject/1486017/
18,8.3,绅士的启示联盟,2005-06-03,"['英国', '爱尔兰', '美国']",https://movie.douban.com/subject/1876972/
19,8.3,古镇疑云,1993-01-27,"['英国', '美国']",https://movie.douban.com/subject/1304004/
20,8.2,孤儿怨,2009-07-24,"['美国', '加拿大', '德国', '法国']",https://movie.douban.com/subject/3011308/
21,8.2,生化危机,2002-03-15,"['英国', '德国', '法国', '美国']",https://movie.douban.com/subject/1306809/
22,8.2,小岛惊魂,2001-08-10,"['美国', '西班牙', '法国', '意大利']",https://movie.douban.com/subject/1301459/
23,8.2,异形,1979-05-25,"['英国', '美国']",https://movie.douban.com/subject/1300868/
24,8.2,摄影机不要停！,2017-11-04,['日本'],https://movie.douban.com/subject/30234315/
25,8.2,诺斯费拉图,1922-03-04,['德国'],https://movie.douban.com/subject/1296791/
26,8.2,X圣治,1997-11-06,['日本'],https://movie.douban.com/subject/1304665/
27,8.2,豺狼时刻,1968-02-19,['瑞典'],https://movie.douban.com/subject/1301151/
28,8.2,真·假面骑士 序章,1992-02-20,['日本'],https://movie.douban.com/subject/3760188/
29,8.2,精神病患者,1980,['美国'],https://movie.douban.com/subject/3347192/
30,8.2,加美拉3 邪神觉醒,1999-03-06,['日本'],https://movie.douban.com/subject/2063941/
31,8.1,回魂夜,1995-07-06,['中国香港'],https://movie.douban.com/subject/1299765/
32,8.1,电锯惊魂3,2006-10-27,"['美国', '加拿大']",https://movie.douban.com/subject/1474189/
33,8.1,潜伏2,2013-09-13,"['美国', '加拿大']",https://movie.douban.com/subject/10485526/
34,8.1,罗斯玛丽的婴儿,1968-06-12,['美国'],https://movie.douban.com/subject/1293852/
35,8.1,僵尸叔叔,1988-12-22,['中国香港'],https://movie.douban.com/subject/1302393/
36,8.1,迷宫物语,1987-09-25,['日本'],https://movie.douban.com/subject/1457127/
37,8.1,鬼婆,1964-11-21,['日本'],https://movie.douban.com/subject/1308657/
38,8.1,黑巷少女,1976-12-25,"['加拿大', '法国', '美国']",https://movie.douban.com/subject/1301485/
39,8.1,狼屋,2018-02-22,"['智利', '德国']",https://movie.douban.com/subject/26754734/
40,8.1,化身博士,1931-12-31,['美国'],https://movie.douban.com/subject/1293893/
41,8.0,万能钥匙,2005-07-29,"['美国', '德国']",https://movie.douban.com/subject/1418752/
