,评分,片名,年份,地区,豆瓣链接
0,9.6,控方证人,1957-12-17,['美国'],https://movie.douban.com/subject/1296141/
1,9.5,控方证人,1982-12-04,"['美国', '英国']",https://movie.douban.com/subject/5294851/
2,9.5,十二怒汉（电视版）,1954-09-20,['美国'],https://movie.douban.com/subject/10583098/
3,9.4,切腹,1962-09-16,['日本'],https://movie.douban.com/subject/1304920/
4,9.3,盗梦空间,2010-09-01,"['美国', '英国']",https://movie.douban.com/subject/3541415/
5,9.2,窃听风暴,2006-03-23,['德国'],https://movie.douban.com/subject/1900841/
6,9.1,帷幕：波洛的最后一案,2013-11-13,['英国'],https://movie.douban.com/subject/25892252/
7,9.0,搏击俱乐部,1999-09-10,"['美国', '德国', '意大利']",https://movie.douban.com/subject/1292000/
8,9.0,红辣椒,2006-09-02,['日本'],https://movie.douban.com/subject/1865703/
9,9.0,惊魂记,1960-06-16,['美国'],https://movie.douban.com/subject/1293181/
10,9.0,古畑任三郎完结篇 重生之死,2006-01-03,['日本'],https://movie.douban.com/subject/10558405/
11,9.0,撒旦探戈,1994-04-28,"['匈牙利', '德国', '瑞士']",https://movie.douban.com/subject/1422088/
12,8.9,致命魔术,2006-10-17,"['英国', '美国']",https://movie.douban.com/subject/1780330/
13,8.9,杀人回忆,2003-05-02,['韩国'],https://movie.douban.com/subject/1300299/
14,8.9,第六感,1999-08-06,['美国'],https://movie.douban.com/subject/1297630/
15,8.9,绿里奇迹,1999-12-10,['美国'],https://movie.douban.com/subject/1300374/
16,8.9,追随,1998-09-12,['英国'],https://movie.douban.com/subject/1397546/
17,8.9,神探夏洛克：最后的誓言,2014-01-12,['英国'],https://movie.douban.com/subject/25804790/
18,8.9,心理游戏,2004-08-07,['日本'],https://movie.douban.com/subject/1477916/
19,8.9,卡里加里博士的小屋,1920-02-26,['德国'],https://movie.douban.com/subject/1292547/
20,8.8,看不见的客人,2017-09-15,['西班牙'],https://movie.douban.com/subject/26580232/
21,8.8,七宗罪,1995-09-22,['美国'],https://movie.douban.com/subject/1292223/
22,8.8,禁闭岛,2010-02-13,['美国'],https://movie.douban.com/subject/2334904/
23,8.8,蝴蝶效应,2004-01-23,"['美国', '加拿大']",https://movie.douban.com/subject/1292343/
24,8.8,致命ID,2003-04-25,['美国'],https://movie.douban.com/subject/1297192/
