,评分,片名,年份,地区,豆瓣链接
0,9.6,伊丽莎白,2005-12-05,['奥地利'],https://movie.douban.com/subject/24877005/
1,9.5,莫扎特！,2015-12-04,['奥地利'],https://movie.douban.com/subject/27666513/
2,9.4,罗密欧与朱丽叶,2002-02-06,['法国'],https://movie.douban.com/subject/25928148/
3,9.4,天鹅湖,1998-06-10,['英国'],https://movie.douban.com/subject/1421850/
4,9.3,吉屋出租：百老汇剧场版,2008-09-24,['美国'],https://movie.douban.com/subject/24857754/
5,9.3,拜访森林,1991-03-15,['美国'],https://movie.douban.com/subject/25741291/
6,9.3,永不消逝的电波 高清放映,2020-05-14,['中国大陆'],https://movie.douban.com/subject/34841525/
7,9.3,大河之舞1995,1995,['爱尔兰'],https://movie.douban.com/subject/1835118/
8,9.2,三傻大闹宝莱坞,2011-12-08,['印度'],https://movie.douban.com/subject/3793023/
9,9.2,摇滚红与黑,2016-09-22,['法国'],https://movie.douban.com/subject/30484534/
10,9.2,伟大征程——庆祝中国共产党成立100周年文艺演出,2021-07-01,['中国大陆'],https://movie.douban.com/subject/35512640/
11,9.2,丝路花雨,1982,['中国大陆'],https://movie.douban.com/subject/3804492/
12,9.2,悲惨世界：音乐会现场,2019-12-02,['英国'],https://movie.douban.com/subject/34892489/
13,9.2,长腿叔叔,2015,['美国'],https://movie.douban.com/subject/34453831/
14,9.1,狮子王,1995-07-15,['美国'],https://movie.douban.com/subject/1301753/
15,9.1,音乐之声,1965-03-02,['美国'],https://movie.douban.com/subject/1294408/
16,9.1,雨中曲,1952-04-11,['美国'],https://movie.douban.com/subject/1293460/
17,9.1,来自远方,2021-09-10,['美国'],https://movie.douban.com/subject/27200859/
18,9.1,海绵宝宝音乐剧：舞台直播,2019-12-07,['美国'],https://movie.douban.com/subject/34914989/
19,9.0,雷帝嘎嘎：九一一,2020-09-18,['美国'],https://movie.douban.com/subject/35209758/
20,8.9,被嫌弃的松子的一生,2006-05-27,['日本'],https://movie.douban.com/subject/1787291/
21,8.9,芝加哥,2002-12-27,"['美国', '德国']",https://movie.douban.com/subject/1307697/
22,8.9,歌厅,1972-02-13,['美国'],https://movie.douban.com/subject/1296282/
23,8.9,蝙蝠侠同人音乐剧,2012-03-22,['美国'],https://movie.douban.com/subject/10604551/
24,8.9,响舞,2005-05-11,"['西班牙', '法国']",https://movie.douban.com/subject/1466198/
25,8.8,跳出我天地,2000-05-19,"['英国', '法国']",https://movie.douban.com/subject/1301169/
26,8.8,富丽秀,2017-11-16,['英国'],https://movie.douban.com/subject/27087206/
27,8.7,东方红,1965-10-01,['中国大陆'],https://movie.douban.com/subject/1457435/
28,8.7,救命！,1965-07-29,['英国'],https://movie.douban.com/subject/1297615/
29,8.7,贾斯汀·汀布莱克：西服与领带,2013,['美国'],https://movie.douban.com/subject/26290428/
30,8.7,俄克拉何马,1999-09-26,['英国'],https://movie.douban.com/subject/1938520/
31,8.7,绿野仙踪,1982,['日本'],https://movie.douban.com/subject/2134037/
32,8.7,伙伴,2011-06-15,['美国'],https://movie.douban.com/subject/20380397/
33,8.7,音乐剧-安娜·卡列尼娜,2018-06-29,['俄罗斯'],https://movie.douban.com/subject/33381431/
34,8.6,悲惨世界,2013-02-28,"['英国', '美国']",https://movie.douban.com/subject/6860160/
35,8.6,爱丽丝梦游仙境,1951-07-26,['美国'],https://movie.douban.com/subject/1310178/
36,8.6,爵士春秋,1979-12-20,['美国'],https://movie.douban.com/subject/1299330/
37,8.6,莎乐美,2002-08-27,['西班牙'],https://movie.douban.com/subject/1303914/
38,8.6,耶稣基督万世巨星,1973-08-15,['美国'],https://movie.douban.com/subject/1295482/
39,8.5,美女与野兽,1991-09-29,['美国'],https://movie.douban.com/subject/1297995/
40,8.5,巴斯特·斯克鲁格斯的歌谣,2018-08-31,['美国'],https://movie.douban.com/subject/26952704/
41,8.5,出水芙蓉,1944-06-27,['美国'],https://movie.douban.com/subject/1305158/
42,8.5,屋顶上的小提琴手,1971-11-03,['美国'],https://movie.douban.com/subject/1298517/
43,8.5,飞天万能床,1971-12-13,['美国'],https://movie.douban.com/subject/1294435/
44,8.4,爱乐之城,2017-02-14,['美国'],https://movie.douban.com/subject/25934014/
45,8.4,冰雪奇缘,2014-02-05,['美国'],https://movie.douban.com/subject/4202982/
46,8.4,白雪公主和七个小矮人,1937-12-21,['美国'],https://movie.douban.com/subject/1297756/
47,8.4,小美人鱼,1989-11-17,['美国'],https://movie.douban.com/subject/1293120/
