,评分,片名,年份,地区,豆瓣链接
0,8.7,倩女幽魂,2011-04-30,['中国香港'],https://movie.douban.com/subject/1297447/
1,8.7,射雕英雄传之东成西就,1993-02-05,['中国香港'],https://movie.douban.com/subject/1316510/
2,8.6,东邪西毒,1994-09-17,"['中国香港', '中国台湾']",https://movie.douban.com/subject/1292328/
3,8.6,新龙门客栈,2012-02-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292287/
4,8.5,笑傲江湖2：东方不败,1992-06-26,['中国香港'],https://movie.douban.com/subject/1294417/
5,8.5,侠女,1970-07-10,"['中国台湾', '中国香港']",https://movie.douban.com/subject/1306490/
6,8.4,空山灵雨,1979-07-11,['中国香港'],https://movie.douban.com/subject/1301136/
7,8.3,卧虎藏龙,2000-10-13,"['中国台湾', '中国香港', '美国', '中国大陆']",https://movie.douban.com/subject/1301168/
8,8.3,黄飞鸿,1991-08-15,['中国香港'],https://movie.douban.com/subject/1298443/
9,8.3,少林寺,1982-02-01,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1301198/
10,8.3,双旗镇刀客,1991-05-17,['中国大陆'],https://movie.douban.com/subject/1307812/
11,8.2,鹿鼎记,1992-07-30,['中国香港'],https://movie.douban.com/subject/1297223/
12,8.2,师父,2015-12-10,['中国大陆'],https://movie.douban.com/subject/25919910/
13,8.2,黄飞鸿之二：男儿当自强,1992-04-16,['中国香港'],https://movie.douban.com/subject/1293475/
14,8.2,霹雳奇幻 西幽玹歌,2019-10-25,"['日本', '中国台湾']",https://movie.douban.com/subject/33377346/
15,8.1,黄飞鸿之三：狮王争霸,1992-12-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292704/
16,8.1,刀,1995-12-21,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1401962/
17,8.1,龙门客栈,1967-10-21,['中国台湾'],https://movie.douban.com/subject/1459054/
18,8.1,迎春阁之风波,1973-12-06,['中国台湾'],https://movie.douban.com/subject/1307898/
19,8.1,侠僧探案传奇之大夜叉,2015-01-22,['中国大陆'],https://movie.douban.com/subject/26304163/
20,8.1,六祖慧能传,1987,['中国台湾'],https://movie.douban.com/subject/2011120/
21,8.0,武状元苏乞儿,1992-12-17,['中国香港'],https://movie.douban.com/subject/1297863/
22,8.0,鹿鼎记2：神龙教,1992-09-24,['中国香港'],https://movie.douban.com/subject/1306951/
23,8.0,倩女幽魂2：人间道,1990-07-13,['中国香港'],https://movie.douban.com/subject/1296629/
24,8.0,笑傲江湖,1990-01-27,"['中国香港', '中国台湾']",https://movie.douban.com/subject/1297304/
25,8.0,新独臂刀,1971-02-07,['中国香港'],https://movie.douban.com/subject/1302128/
26,8.0,忠烈图,1975-02-19,['中国香港'],https://movie.douban.com/subject/1296161/
27,8.0,目无王法,1981,['中国香港'],https://movie.douban.com/subject/2133148/
28,7.9,方世玉,1993-03-04,['中国香港'],https://movie.douban.com/subject/1297763/
29,7.9,太极张三丰,1993-11-18,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1294561/
30,7.9,新少林五祖,1994-02-05,['中国香港'],https://movie.douban.com/subject/1296837/
31,7.9,陆小凤传奇之陆小凤前传,2007-01-03,['中国大陆'],https://movie.douban.com/subject/2136204/
32,7.9,陆小凤传奇之铁鞋传奇,2007-01-10,['中国大陆'],https://movie.douban.com/subject/2136201/
33,7.9,一刀倾城,1993-07-15,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1299085/
34,7.9,杨门女将之情定穆柯寨,2001,['中国大陆'],https://movie.douban.com/subject/19965275/
35,7.9,杨门女将之战地情缘,2001-12-05,['中国大陆'],https://movie.douban.com/subject/19965280/
36,7.9,喜怒哀乐,1970-10-09,['中国台湾'],https://movie.douban.com/subject/1300195/
37,7.8,倚天屠龙记之魔教教主,1993-12-18,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1299059/
