,评分,片名,年份,地区,豆瓣链接
0,9.6,霸王别姬,1993-07-26,"['中国大陆', '中国香港']",https://movie.douban.com/subject/1291546/
1,9.6,美丽人生,2020-01-03,['意大利'],https://movie.douban.com/subject/1292063/
2,9.5,阿甘正传,1994-06-23,['美国'],https://movie.douban.com/subject/1292720/
3,9.5,福尔摩斯二世,1924-04-21,['美国'],https://movie.douban.com/subject/1303408/
4,9.4,泰坦尼克号,1998-04-03,"['美国', '墨西哥', '澳大利亚', '加拿大']",https://movie.douban.com/subject/1292722/
5,9.4,泰坦尼克号 3D版,2012-04-10,['美国'],https://movie.douban.com/subject/5450891/
6,9.4,灿烂人生,2003-06-22,['意大利'],https://movie.douban.com/subject/1291831/
7,9.4,巴黎圣母院,1998,['法国'],https://movie.douban.com/subject/20326557/
8,9.4,罗密欧与朱丽叶,2002-02-06,['法国'],https://movie.douban.com/subject/25928148/
9,9.3,乱世佳人,1939-12-15,['美国'],https://movie.douban.com/subject/1300267/
10,9.3,摩登时代,1936-02-25,['美国'],https://movie.douban.com/subject/1294371/
11,9.3,城市之光,1931-01-30,['美国'],https://movie.douban.com/subject/1293908/
12,9.3,生活多美好,1946-12-20,['美国'],https://movie.douban.com/subject/1293749/
13,9.3,老友记重聚特辑,2021-05-27,['美国'],https://movie.douban.com/subject/34908189/
14,9.3,南海十三郎,1997-05-15,['中国香港'],https://movie.douban.com/subject/1303913/
15,9.3,狐妖小红娘剧场版：月红篇,2016-06-24,['中国大陆'],https://movie.douban.com/subject/26972694/
16,9.3,狐妖小红娘剧场版：王权富贵,2016-05-20,['中国大陆'],https://movie.douban.com/subject/26946612/
17,9.2,三傻大闹宝莱坞,2011-12-08,['印度'],https://movie.douban.com/subject/3793023/
18,9.2,大话西游之大圣娶亲,2014-10-24,"['中国香港', '中国大陆']",https://movie.douban.com/subject/1292213/
19,9.2,天堂电影院,2021-06-11,"['意大利', '法国']",https://movie.douban.com/subject/1291828/
20,9.2,芙蓉镇,1987-03-05,['中国大陆'],https://movie.douban.com/subject/1297880/
21,9.2,沉静如海,2004-10-25,"['法国', '比利时']",https://movie.douban.com/subject/1769507/
22,9.2,淘金记,1925-06-26,['美国'],https://movie.douban.com/subject/1298817/
23,9.2,马戏团,1928-01-06,['美国'],https://movie.douban.com/subject/1299628/
24,9.2,哀乐中年,1949,['中国大陆'],https://movie.douban.com/subject/4719384/
25,9.2,战争与和平,1966-03-14,['苏联'],https://movie.douban.com/subject/1307067/
26,9.1,怦然心动,2010-07-26,['美国'],https://movie.douban.com/subject/3319755/
