,评分,片名,年份,地区,豆瓣链接
0,9.7,肖申克的救赎,1994-09-10,['美国'],https://movie.douban.com/subject/1292052/
1,9.6,控方证人,1957-12-17,['美国'],https://movie.douban.com/subject/1296141/
2,9.5,控方证人,1982-12-04,"['美国', '英国']",https://movie.douban.com/subject/5294851/
3,9.5,十二怒汉（电视版）,1954-09-20,['美国'],https://movie.douban.com/subject/10583098/
4,9.4,这个杀手不太冷,1994-09-14,"['法国', '美国']",https://movie.douban.com/subject/1295644/
5,9.3,无间道,2003-09-05,['中国香港'],https://movie.douban.com/subject/1307914/
6,9.3,教父,1972-03-15,['美国'],https://movie.douban.com/subject/1291841/
7,9.2,蝙蝠侠：黑暗骑士,2008-07-14,"['美国', '英国']",https://movie.douban.com/subject/1851857/
8,9.2,教父2,1974-12-12,['美国'],https://movie.douban.com/subject/1299131/
9,9.2,美国往事,1984-02-17,"['美国', '意大利']",https://movie.douban.com/subject/1292262/
10,9.2,洞,1960-03-18,"['法国', '意大利']",https://movie.douban.com/subject/1424334/
11,9.2,十二怒汉,1997-08-17,['美国'],https://movie.douban.com/subject/1293989/
12,9.1,猫鼠游戏,2003-04-11,"['美国', '加拿大']",https://movie.douban.com/subject/1305487/
13,9.1,两杆大烟枪,1998-08-28,['英国'],https://movie.douban.com/subject/1293350/
14,9.1,完美的世界,1993-11-24,['美国'],https://movie.douban.com/subject/1300992/
15,9.1,无间道(正序版),2006,['中国香港'],https://movie.douban.com/subject/4860078/
16,9.1,流浪者之歌,1988-12-21,"['意大利', '英国', '南斯拉夫']",https://movie.douban.com/subject/1303525/
17,9.1,帷幕：波洛的最后一案,2013-11-13,['英国'],https://movie.douban.com/subject/25892252/
18,9.0,教父3,1990-12-25,['美国'],https://movie.douban.com/subject/1294240/
19,9.0,上帝之城,2002-05-18,"['巴西', '法国']",https://movie.douban.com/subject/1292208/
20,9.0,偷自行车的人,1948-11-24,['意大利'],https://movie.douban.com/subject/1295873/
21,9.0,古畑任三郎完结篇 重生之死,2006-01-03,['日本'],https://movie.douban.com/subject/10558405/
22,8.9,沉默的羔羊,1991-02-14,['美国'],https://movie.douban.com/subject/1293544/
23,8.9,低俗小说,1994-05-12,['美国'],https://movie.douban.com/subject/1291832/
24,8.9,杀人回忆,2003-05-02,['韩国'],https://movie.douban.com/subject/1300299/
25,8.9,新世界,2013-02-21,['韩国'],https://movie.douban.com/subject/10437779/
26,8.9,绿里奇迹,1999-12-10,['美国'],https://movie.douban.com/subject/1300374/
27,8.9,牯岭街少年杀人事件,1991-07-27,['中国台湾'],https://movie.douban.com/subject/1292329/
28,8.9,追随,1998-09-12,['英国'],https://movie.douban.com/subject/1397546/
29,8.9,芝加哥,2002-12-27,"['美国', '德国']",https://movie.douban.com/subject/1307697/
30,8.9,神探夏洛克：最后的誓言,2014-01-12,['英国'],https://movie.douban.com/subject/25804790/
31,8.9,恐怖分子,1986-12-19,['中国台湾'],https://movie.douban.com/subject/1305261/
32,8.9,卡里加里博士的小屋,1920-02-26,['德国'],https://movie.douban.com/subject/1292547/
33,8.8,看不见的客人,2017-09-15,['西班牙'],https://movie.douban.com/subject/26580232/
34,8.8,七宗罪,1995-09-22,['美国'],https://movie.douban.com/subject/1292223/
35,8.8,蝙蝠侠：黑暗骑士崛起,2012-08-27,"['美国', '英国']",https://movie.douban.com/subject/3395373/
36,8.8,荒蛮故事,2014-05-17,"['阿根廷', '西班牙']",https://movie.douban.com/subject/24750126/
37,8.8,纵横四海,1991-02-02,['中国香港'],https://movie.douban.com/subject/1295409/
