,评分,片名,年份,地区,豆瓣链接
0,9.7,I Don't Want to Lose Form,2021-01-31,['泰国'],https://movie.douban.com/subject/35441373/
1,9.6,星际牛仔总集篇・蓝调混搭,1998-06-26,['日本'],https://movie.douban.com/subject/26883616/
2,9.6,出租车,2013,['中国大陆'],https://movie.douban.com/subject/26994877/
3,9.5,尽管我们的手中空无一物,2015,['日本'],https://movie.douban.com/subject/30376877/
4,9.5,统计学之歌,2013,['美国'],https://movie.douban.com/subject/30329181/
5,9.5,徐谐仁短片“午夜出租车”,2014-08-21,['中国大陆'],https://movie.douban.com/subject/25960901/
6,9.5,经济机器是如何运行的,2008,['美国'],https://movie.douban.com/subject/30458820/
7,9.5,怪诞小镇特别篇：松林之间,2016-02-08,['美国'],https://movie.douban.com/subject/26744258/
8,9.5,老鼠在曼哈顿,1945-07-07,['美国'],https://movie.douban.com/subject/2155209/
9,9.4,鹬,2016-06-17,['美国'],https://movie.douban.com/subject/26766869/
10,9.4,罗小黑战记番外篇：晚安喵,2014-05-27,['中国大陆'],https://movie.douban.com/subject/27602202/
11,9.4,猫之布鲁斯,1956-11-16,['美国'],https://movie.douban.com/subject/2191393/
12,9.4,特洛耶·希文：傻子,2015-09-25,['美国'],https://movie.douban.com/subject/30149748/
13,9.4,猫儿上天堂,1949-07-09,['美国'],https://movie.douban.com/subject/5262224/
14,9.4,飞行猫,1952-01-12,['美国'],https://movie.douban.com/subject/2137156/
15,9.4,杰瑞的表兄,1951-04-07,['美国'],https://movie.douban.com/subject/3113288/
16,9.4,室内溜冰场,1954-09-04,['美国'],https://movie.douban.com/subject/5262256/
17,9.4,拉娜·德雷：西海岸,2014-05-07,['美国'],https://movie.douban.com/subject/25940511/
18,9.4,特洛耶·希文：狂野,2015-09-03,['美国'],https://movie.douban.com/subject/30149747/
19,9.4,圣诞前夜,1941-12-03,['美国'],https://movie.douban.com/subject/3120785/
20,9.4,强力乳液,1947-06-14,['美国'],https://movie.douban.com/subject/3110686/
21,9.4,特洛耶·希文：安抚我,2015-10-20,['美国'],https://movie.douban.com/subject/30149749/
22,9.4,休战的伤害,1948-07-17,['美国'],https://movie.douban.com/subject/5290009/
23,9.4,捕鼠陷阱,1955-09-02,['美国'],https://movie.douban.com/subject/2137177/
24,9.4,好莱坞碗演奏会,1950-09-16,['美国'],https://movie.douban.com/subject/2144680/
25,9.3,回忆积木小屋,2008-06-10,['日本'],https://movie.douban.com/subject/3560787/
26,9.3,火车进站,1896,['法国'],https://movie.douban.com/subject/1867742/
27,9.3,山水情,1988,['中国大陆'],https://movie.douban.com/subject/1316626/
28,9.3,人生七年1,1964-05-05,['英国'],https://movie.douban.com/subject/2123439/
29,9.3,颤栗,1983-12-02,['美国'],https://movie.douban.com/subject/3266978/
30,9.3,鬼怪,1997-05-08,['美国'],https://movie.douban.com/subject/2135590/
31,9.3,情热大陆 二宫和也篇,2007-05-06,['日本'],https://movie.douban.com/subject/19962827/
32,9.3,猫的协奏曲,1947-04-26,['美国'],https://movie.douban.com/subject/1295833/
33,9.3,守望先锋：双龙,2016-05-16,['美国'],https://movie.douban.com/subject/26860017/
34,9.3,小巨人 3D,2014-05-24,['英国'],https://movie.douban.com/subject/26278784/
35,9.3,守望先锋：最后的堡垒,2016-08-19,['美国'],https://movie.douban.com/subject/26860014/
36,9.3,浪漫小夜曲,1946-08-31,['美国'],https://movie.douban.com/subject/1937462/
37,9.3,宇宙尽头,2019-03-20,['美国'],https://movie.douban.com/subject/34603753/
38,9.3,好兆头：隔离,2020-05-01,['英国'],https://movie.douban.com/subject/35072611/
39,9.3,甜美的老鼠生活,1965,['美国'],https://movie.douban.com/subject/1937461/
40,9.3,守望先锋：荣耀,2017-11-03,['美国'],https://movie.douban.com/subject/27191474/
41,9.3,高威女孩,2017-05-03,['英国'],https://movie.douban.com/subject/30106176/
42,9.3,英格兰盛行：《V字仇杀队》和漫画新浪潮,2006-07-26,['英国'],https://movie.douban.com/subject/35193176/
43,9.3,制作《V字仇杀队》：自由永在,2006-07-26,['英国'],https://movie.douban.com/subject/35193178/
44,9.3,哈利·波特禁忌之旅,2010-06-18,['美国'],https://movie.douban.com/subject/6429657/
45,9.3,哈利·波特故事中的女性,2011-11-11,['英国'],https://movie.douban.com/subject/26606012/
46,9.3,杰瑞和狮子,1950-04-08,['美国'],https://movie.douban.com/subject/2137538/
47,9.3,保镖,1944-07-22,['美国'],https://movie.douban.com/subject/5262213/
48,9.3,隐形墨水,1947-09-27,['美国'],https://movie.douban.com/subject/5262222/
49,9.3,爆竹风波,1950-07-01,['美国'],https://movie.douban.com/subject/2137554/
50,9.3,杰瑞与小象,1953-02-21,['美国'],https://movie.douban.com/subject/5262244/
51,9.3,G.U.Y. - An ARTPOP Film,2014-03-22,['美国'],https://movie.douban.com/subject/25893283/
52,9.3,夏日忧伤,2012-07-12,['美国'],https://movie.douban.com/subject/30356836/
53,9.3,宠物之争,1954-11-20,['美国'],https://movie.douban.com/subject/5262258/
54,9.2,调音师(短片),2010,['法国'],https://movie.douban.com/subject/6846495/
