,评分,片名,年份,地区,豆瓣链接
0,9.7,久石让在武道馆：与宫崎骏动画一同走过的25年,2008-08-05,['日本'],https://movie.douban.com/subject/4167113/
1,9.7,摩登家庭：摩登式告别,2020-04-08,['美国'],https://movie.douban.com/subject/35024535/
2,9.7,地球脉动2：奇迹世界,2017-01-01,['英国'],https://movie.douban.com/subject/27087625/
3,9.7,披头士精选辑,1995-11-26,['英国'],https://movie.douban.com/subject/1476409/
4,9.7,巴赫－哥德堡变奏曲 / 古尔德录音室演奏版录像,1981,"['美国', '法国']",https://movie.douban.com/subject/5997861/
5,9.7,KinKi Kids 你不在身边的夏天 songs,2017-12-14,['日本'],https://movie.douban.com/subject/27605662/
6,9.7,卡拉扬指挥柏林爱乐乐团：贝多芬第九交响曲“合唱”,1968-04-17,['德国'],https://movie.douban.com/subject/6010839/
7,9.6,人生七年9,2019-06-04,['英国'],https://movie.douban.com/subject/30322776/
8,9.6,创造“哈利·波特”的世界：魔法开始,2009,['美国'],https://movie.douban.com/subject/5164585/
9,9.6,无路可逃：一部关于模糊乐队的电影,2010-01-14,['英国'],https://movie.douban.com/subject/4234314/
10,9.6,岚：15周年的告白,2014-11-07,['日本'],https://movie.douban.com/subject/26257406/
11,9.6,创造哈利·波特的世界：成长,2012-09-07,['美国'],https://movie.douban.com/subject/20514888/
12,9.6,俄国人生七年1,1991-05-28,['英国'],https://movie.douban.com/subject/5983724/
13,9.6,从纳粹手中救出的孩子们,2016-01-28,['英国'],https://movie.douban.com/subject/26715377/
14,9.6,创造“哈利·波特”的世界：声效与音乐,2010-10-19,['美国'],https://movie.douban.com/subject/6718144/
15,9.6,皇后乐队：演出岁月,1991-08-11,['英国'],https://movie.douban.com/subject/6778688/
16,9.6,关口知宏之中国铁道大纪行,2007,['日本'],https://movie.douban.com/subject/34447335/
17,9.6,翻山涉水上学路,2013-09-02,['德国'],https://movie.douban.com/subject/27622719/
18,9.6,女子宿舍,2010-12-31,['中国大陆'],https://movie.douban.com/subject/5353116/
19,9.6,贝影·大结局,2013-07-22,['中国大陆'],https://movie.douban.com/subject/25917984/
20,9.6,周游加拿大,2014-12-04,['加拿大'],https://movie.douban.com/subject/26852960/
21,9.6,神秘博士：DT的视频日志：最后的日子,2010,['英国'],https://movie.douban.com/subject/10508911/
22,9.6,霍洛维茨在莫斯科,1986-04-20,['USA'],https://movie.douban.com/subject/1417215/
23,9.6,亨利：谁与争锋·大结局,2014-12-22,['中国大陆'],https://movie.douban.com/subject/28510718/
24,9.6,NHK 永远的ZARD 坂井泉水名曲诞生的背后,2019-04-20,['日本'],https://movie.douban.com/subject/33438515/
25,9.6,模糊乐队：海德公园现场,2010-02-15,['英国'],https://movie.douban.com/subject/11599732/
26,9.6,星耀征途：中国女排里约夺冠记,2018-05-29,['中国大陆'],https://movie.douban.com/subject/34961596/
27,9.6,最高档 极地特辑,2007-07-25,['英国'],https://movie.douban.com/subject/10573342/
28,9.6,科比追思会：生命的礼赞,2020-02-24,['美国'],https://movie.douban.com/subject/35013941/
29,9.6,克拉玛依,1958,['中国大陆'],https://movie.douban.com/subject/26388553/
30,9.5,三十二,2014-03-30,['中国大陆'],https://movie.douban.com/subject/26236632/
31,9.5,兰迪·波许教授的最后一课,2007-11-09,['美国'],https://movie.douban.com/subject/4603382/
32,9.5,可爱的动物,1974-01-31,['南非'],https://movie.douban.com/subject/1295518/
33,9.5,豪斯医生完季特别篇：天鹅挽歌,2012-05-21,['美国'],https://movie.douban.com/subject/10757823/
34,9.5,蒙古草原，天气晴,2006-06-03,['日本'],https://movie.douban.com/subject/3765826/
35,9.5,史蒂夫·乔布斯：遗失的访谈,2012-09-06,['美国'],https://movie.douban.com/subject/6974319/
36,9.5,危险之旅：短片合辑,1993,['美国'],https://movie.douban.com/subject/3816069/
37,9.5,模糊乐队：新世界大厦,2015-12-02,['英国'],https://movie.douban.com/subject/26665851/
38,9.5,花豹女王,2011,['南非'],https://movie.douban.com/subject/6872280/
39,9.5,艾维奇的真实故事,2017-10-26,['荷兰'],https://movie.douban.com/subject/27621824/
40,9.5,俄国人生七年2,1998,['英国'],https://movie.douban.com/subject/5985749/
41,9.5,走进《星际穿越》,2015-03-31,['美国'],https://movie.douban.com/subject/33383596/
42,9.5,俄国人生七年3,2005-11-29,['英国'],https://movie.douban.com/subject/25761720/
43,9.5,与鸟共舞,2019-10-23,['美国'],https://movie.douban.com/subject/34853409/
44,9.5,里赫特：谜,1998,['法国'],https://movie.douban.com/subject/1828568/
45,9.5,十冠之心,2015-05-19,['西班牙'],https://movie.douban.com/subject/26411395/
46,9.5,秋日长夜的海女演奏会～大友良英和伙伴们的大音乐会,2013-09-13,['日本'],https://movie.douban.com/subject/25728737/
47,9.5,造访万能青年旅店,2020-05-29,['中国大陆'],https://movie.douban.com/subject/35140955/
48,9.5,2021年维也纳新年音乐会,2021-01-01,['奥地利'],https://movie.douban.com/subject/35305937/
49,9.5,地平线系列：再见卡西尼号，你好土星,2017-09-18,['英国'],https://movie.douban.com/subject/27168790/
50,9.5,十一冠之心,2016,['西班牙'],https://movie.douban.com/subject/26899175/
51,9.5,小提琴家的艺术之旷世通鉴,2000-12-04,['法国'],https://movie.douban.com/subject/1841467/
52,9.5,齐柏林飞艇：庆祝日,2012-10-17,['英国'],https://movie.douban.com/subject/19976901/
53,9.4,女大法官金斯伯格,2018-01-21,['美国'],https://movie.douban.com/subject/27615467/
54,9.4,人生七年2,1970-12-15,['英国'],https://movie.douban.com/subject/2123440/
55,9.4,人生七年8,2012-05-14,['英国'],https://movie.douban.com/subject/10748226/
56,9.4,最大的小小农场,2018-09-01,['美国'],https://movie.douban.com/subject/30330264/
57,9.4,冲天,2015-12-11,['中国台湾'],https://movie.douban.com/subject/26602234/
58,9.4,人生七年3,1977-05-09,['英国'],https://movie.douban.com/subject/2283680/
59,9.4,人生七年4,1984-11-20,['英国'],https://movie.douban.com/subject/1482936/
60,9.4,人生七年5,1991-09-08,['英国'],https://movie.douban.com/subject/1778460/
61,9.4,人生七年6,1998-07-21,['英国'],https://movie.douban.com/subject/1778459/
62,9.4,地球,2007-11-16,"['英国', '德国', '美国']",https://movie.douban.com/subject/2264077/
63,9.4,平衡,2000,['中国大陆'],https://movie.douban.com/subject/1958031/
64,9.4,超音速,2016-10-02,['英国'],https://movie.douban.com/subject/26707093/
65,9.4,德国，一个夏天的童话,2006-10-05,['德国'],https://movie.douban.com/subject/1896561/
66,9.4,大卫·爱登堡：地球上的一段生命旅程,2020-09-28,['英国'],https://movie.douban.com/subject/35200279/
67,9.4,大象女王,2018-09-08,"['英国', '肯尼亚']",https://movie.douban.com/subject/30326966/
68,9.4,摇滚本事,2002-12-20,['中国台湾'],https://movie.douban.com/subject/3737081/
69,9.4,人体奥妙之细胞的暗战,2012-10-21,['英国'],https://movie.douban.com/subject/20515275/
70,9.4,绝不折中：绝命毒师最终季制作记录,2013-11-26,['美国'],https://movie.douban.com/subject/25779043/
71,9.4,听·见 林俊杰,2016-07-07,['中国台湾'],https://movie.douban.com/subject/26832858/
72,9.4,酷玩乐队：满脑子的梦想,2018-11-14,['英国'],https://movie.douban.com/subject/30349240/
73,9.4,汉密尔顿的美国,2016-10-21,['美国'],https://movie.douban.com/subject/26892562/
74,9.4,银魂剧场版 银幕前夜祭2013,2013-06-29,['日本'],https://movie.douban.com/subject/24844016/
75,9.4,平克·弗洛伊德：愿你在此的故事,2012,['英国'],https://movie.douban.com/subject/11528325/
76,9.4,权志龙,2018-09-05,['韩国'],https://movie.douban.com/subject/30327459/
77,9.4,他们在岛屿写作：如歌的行板,2014-10-18,['中国台湾'],https://movie.douban.com/subject/26235647/
78,9.4,民间传说：长池录音室,2020-11-25,['美国'],https://movie.douban.com/subject/35263497/
79,9.4,帝企鹅宝宝的生命轮回之旅,2015-12-23,['英国'],https://movie.douban.com/subject/26265962/
80,9.4,旅行者号：冲出太阳系,2012-10-24,['英国'],https://movie.douban.com/subject/23117105/
81,9.4,井上雄彦 最后的漫画展,2010-08-01,['日本'],https://movie.douban.com/subject/4935006/
82,9.4,她在愤怒时最美,2014-10-02,['美国'],https://movie.douban.com/subject/26200629/
83,9.4,星形,1993-09-12,['英国'],https://movie.douban.com/subject/4309775/
84,9.4,情熱大陸900回記念放送～羽生結弦篇,2016-04-10,['日本'],https://movie.douban.com/subject/26766202/
85,9.4,集体回忆 - 张国荣,2007,['中国香港'],https://movie.douban.com/subject/2170951/
86,9.4,2016NBA官方夺冠纪录片,2016-10-24,['美国'],https://movie.douban.com/subject/26923003/
87,9.4,俄国人生七年4,2012-05-28,"['英国', '俄罗斯']",https://movie.douban.com/subject/20277195/
88,9.4,绿洲乐队：当然可能,2004-09-06,"['英国', '美国']",https://movie.douban.com/subject/3430463/
89,9.4,戏里戏外的大侦探波罗,2013-11-13,['英国'],https://movie.douban.com/subject/25757127/
