,评分,片名,年份,地区,豆瓣链接
0,9.2,黄金三镖客,1966-12-23,"['意大利', '西班牙', '西德']",https://movie.douban.com/subject/1401118/
1,9.2,淘金记,1925-06-26,['美国'],https://movie.douban.com/subject/1298817/
2,9.1,革命往事,1971-10-29,['意大利'],https://movie.douban.com/subject/1301026/
3,8.9,让子弹飞,2010-12-16,"['中国大陆', '中国香港']",https://movie.douban.com/subject/3742360/
4,8.9,与狼共舞,1990-11-21,"['美国', '英国']",https://movie.douban.com/subject/1293764/
5,8.8,被解救的姜戈,2013-05-12,['美国'],https://movie.douban.com/subject/6307447/
6,8.8,燃情岁月,1994-12-16,['美国'],https://movie.douban.com/subject/1295865/
7,8.8,黄昏双镖客,1965-12-18,"['意大利', '西班牙', '西德']",https://movie.douban.com/subject/1295586/
8,8.7,西部往事,1968-12-21,"['意大利', '美国']",https://movie.douban.com/subject/1293394/
9,8.7,俄克拉何马,1999-09-26,['英国'],https://movie.douban.com/subject/1938520/
10,8.6,小马王,2002-05-24,['美国'],https://movie.douban.com/subject/1296636/
11,8.6,虎豹小霸王,1969-10-10,['美国'],https://movie.douban.com/subject/1297602/
12,8.6,碧血金沙,1948-01-24,"['美国', '墨西哥']",https://movie.douban.com/subject/1292516/
13,8.6,荒野、黄金、大镖客,1998-10-11,"['西班牙', '美国']",https://movie.douban.com/subject/1297379/
14,8.5,八恶人,2015-12-07,['美国'],https://movie.douban.com/subject/25787888/
15,8.5,巴斯特·斯克鲁格斯的歌谣,2018-08-31,['美国'],https://movie.douban.com/subject/26952704/
16,8.5,回到未来3,1990-05-25,['美国'],https://movie.douban.com/subject/1296666/
17,8.5,不可饶恕,1992-08-03,['美国'],https://movie.douban.com/subject/1293566/
18,8.4,荒野大镖客,1964-09-12,"['意大利', '西班牙', '西德']",https://movie.douban.com/subject/1302522/
19,8.4,正午,1952-07-07,['美国'],https://movie.douban.com/subject/1298521/
20,8.4,幸运卢克之雏菊镇,1971-12-15,"['法国', '比利时']",https://movie.douban.com/subject/2352063/
21,8.3,无人区,2013-12-03,['中国大陆'],https://movie.douban.com/subject/3804891/
22,8.3,大地惊雷,2010-12-22,['美国'],https://movie.douban.com/subject/3626372/
23,8.3,关山飞渡,1939-02-15,['美国'],https://movie.douban.com/subject/1298134/
